,actor,필모그래피 개수,천만관객 뱃지 유무,수상 개수
0, 레슬리 만,37.0,None,0.0
1, 조우정,14.0,None,4.0
2, 사카구치 켄타로,18.0,None,1.0
3, 롤프 라스가드,15.0,None,0.0
4, 제네시스 로드리게스,12.0,None,0.0
5, 토머스 F. 윌슨,17.0,None,1.0
6, 설경구,47.0,천만관객,32.0
7, 박영규,24.0,None,8.0
8, 웬디 맥렌던 커비,30.0,None,2.0
9, 헨리 폰다,60.0,None,10.0
10, 테라사키 유카,,,
11, 마일즈 텔러,,,
12, 블레이크 라이블리,,,
13, 크리스 파인,,,
14, 최수인,,,
15, 크리스토퍼 로이드,,,
16, 로사 살라자르,,,
17, 최정현,,,
18, 존 말루프,,,
19, 오태경,,,
20, 김영순,,,
21, 캐서린 프레스콧,,,
22, 나카오 마사키,,,
23, 임지호,,,
24, 김영미,,,
25, 김혜성,,,
26, 찰리 허냄,,,
27, 이정현,,,
28, 장뢰,,,
29, 펑위옌,,,
30, 케빈 코스트너,,,
31, 박성영,,,
32, 데이빗 스트라탄,,,
33, 루이즈 보르고앙,,,
34, 캐리스 밴 허슨,,,
35, 류혜영,,,
36, 사쿠라이 타카히로,,,
37, 산드라 블록,,,
38, 에이사 버터필드,,,
39, 이아인 글렌,,,
40, 패트릭 스튜어트,,,
41, 이드리스 엘바,,,
42, 크리스토프 왈츠,,,
43, 어니스트 움하우어,,,
44, 모레나 바카린,,,
45, 게리 올드만,,,
46, 크리스핀 글로버,,,
47, 이기홍,,,
48, 폴 워커,,,
49, 곽두조,,,
50, 올가 쿠릴렌코,,,
51, 추상미,,,
52, 엔리크 포셀라나,,,
53, 문석범,,,
54, 오마르 차파로,,,
55, 자끄 페렝,,,
56, 메간 폭스,,,
57, 문근영,,,
58, 옥한흠,,,
59, 박경혜,,,
60, 우디 해럴슨,,,
61, 알렉스 뉴이스테터,,,
62, 사사키 미유,,,
63, 마이클 케슬러,,,
64, 페드로 파스칼,,,
65, 제이슨 모모아,,,
66, 송중기,,,
67, 콘노 아유리,,,
68, 이성경,,,
69, 스눕 독,,,
70, 모리타카 아이,,,
71, 존 헤저,,,
72, 제니퍼 코넬리,,,
73, 마일즈 헤이저,,,
74, 미셸 빌레모,,,
75, 스와 나나카,,,
76, 조지 맥케이,,,
77, 윌리암 피츠너,,,
78, 캐서린 제타 존스,,,
79, 배두나,,,
80, 마이린 로비치,,,
81, 매기 큐,,,
82, 브리타니 스노우,,,
83, 나자닌 보니아디,,,
84, 마이키 볼트,,,
85, 애슐리 소머즈,,,
86, 파일,,,
87, 제프 다니엘스,,,
88, 애드리애너 그라지엘,,,
89, 쿠로키 하루,,,
90, 케빈 하트,,,
91, 문보람,,,
92, 잭 킬버그,,,
93, 미야케 켄타,,,
94, 쿠리시마 스미코,,,
95, 박영재,,,
96, 권율,,,
97, 레이디 가가,,,
98, 손현주,,,
99, 크리스 쿠퍼,,,
100, 장혜문,,,
101, 제이미 도넌,,,
102, 케이티 믹슨,,,
103, 김서형,,,
104, 브릿 로버트슨,,,
105, 로렌 딜런,,,
106, 스가 켄타,,,
107, 앤드류 센세닉,,,
108, 매튜 구드,,,
109, 이수혁,,,
110, 빅키 크리엡스,,,
111, 서태화,,,
112, 안서현,,,
113, 서니 설직,,,
114, 마크 게티스,,,
115, 신순애,,,
116, 윤여정,,,
117, 임윤선,,,
118, 사라 폴슨,,,
119, 벤자민 워커,,,
120, 테일러 키취,,,
121, 손예진,,,
122, 김혜준,,,
123, 진선규,,,
124, 루퍼트 프렌드,,,
125, 리즈 아메드,,,
126, 데이지 리들리,,,
127, 왕석현,,,
128, 대니 글로버,,,
129, 마이 브리트 앤더슨,,,
130, 에밀 허쉬,,,
131, 아사노 타다노부,,,
132, 레오나르도 디카프리오,,,
133, 테라지마 스스무,,,
134, 카렌 길런,,,
135, 홍정수,,,
136, 지니퍼 굿윈,,,
137, 콘스탄틴 카벤스키,,,
138, 다니엘 헤니,,,
139, 사카모토 마아야,,,
140, 카롤리네 슈허,,,
141, 존 하슬러,,,
142, 리처드 아미티지,,,
143, 말린 애커맨,,,
144, 줄리아 스타일스,,,
145, 이안 맥쉐인,,,
146, 조쉬 스튜어트,,,
147, 심규혁,,,
148, 캐리 멀리건,,,
149, 알렉스 페티퍼,,,
150, 온영삼,,,
151, 쿠리타 칸이치,,,
152, 유오성,,,
153, 송새벽,,,
154, 유창복,,,
155, 로브 로우,,,
156, 임영석,,,
157, 이시언,,,
158, 정혜원,,,
159, 진이한,,,
160, 빌 멜렌데즈,,,
161, 정재헌,,,
162, 이스라엘 브로우사드,,,
163, 샤키라,,,
164, 귈림 리,,,
165, 이상엽,,,
166, 이시마루 켄지로,,,
167, 김효진,,,
168, 존 터투로,,,
169, 알레산드라 마스트로나르디,,,
170, 정준영,,,
171, 윌 폴터,,,
172, 이유영,,,
173, 신정근,,,
174, 마동석,,,
175, 에밀리 블런트,,,
176, 제이크 질렌할,,,
177, 구민선,,,
178, 캐롤라인 도,,,
179, 아르노 비야르,,,
180, 엄정화,,,
181, 유해무,,,
182, 오순옥,,,
183, 제레미 레이 테일러,,,
184, 김민석,,,
185, 후치가미 마이,,,
186, 정웅인,,,
187, 얀 라벡,,,
188, 최윤정,,,
189, 나라하시 미키,,,
190, 오카모토 노부히코,,,
191, 자비에르 사무엘,,,
192, 알마 포이스티,,,
193, 스콧 앳킨스,,,
194, 김성철,,,
195, 나탈리 포트만,,,
196, 질 를르슈,,,
197, 고수,,,
198, 정은지,,,
199, 우르갼 릭젠,,,
200, 매들린 해리스,,,
201, 캘런 맥오리피,,,
202, 시우민,,,
203, 크리스티나 아길레라,,,
204, 신용우,,,
205, 손윤상,,,
206, 최막이,,,
207, 맥스 레나우딘,,,
208, 마이클 치클리스,,,
