,name,r_avg,a_avg
0, 레슬리 만,7.55,119128.0
1, 조우정,6.8999999999999995,221.5
2, 사카구치 켄타로,8.28,15015.6
3, 롤프 라스가드,7.4350000000000005,81120.66666666667
4, 제네시스 로드리게스,7.252,771004.75
5, 토머스 F. 윌슨,8.325,195000.0
6, 설경구,8.282499999999999,737500.0
7, 박영규,6.9750000000000005,777535.125
8, 웬디 맥렌던 커비,8.59,13914.0
9, 헨리 폰다,7.970000000000001,NULL
10, 테라사키 유카,8.785999999999998,137600.0
11, 마일즈 텔러,8.74,40148.5
12, 블레이크 라이블리,7.488333333333333,111835.0
13, 크리스 파인,8.386666666666665,1140000.0
14, 최수인,8.675,846812.0
15, 크리스토퍼 로이드,5.663333333333333,65055.0
16, 로사 살라자르,7.55,1417666.6666666667
17, 최정현,NULL,NULL
18, 존 말루프,NULL,NULL
19, 오태경,7.0,1038930.5
20, 김영순,NULL,NULL
21, 캐서린 프레스콧,7.26,36000.0
22, 나카오 마사키,8.76,66000.0
23, 임지호,NULL,NULL
24, 김영미,NULL,NULL
25, 김혜성,7.4085714285714275,796530.2857142857
26, 찰리 허냄,8.004,114729.8
27, 이정현,7.6875,307784.0
28, 장뢰,NULL,NULL
29, 펑위옌,7.34,166861.33333333334
30, 케빈 코스트너,8.233333333333334,470489.3333333333
31, 박성영,NULL,NULL
32, 데이빗 스트라탄,6.8180000000000005,109869.75
33, 루이즈 보르고앙,7.333333333333333,2660.6666666666665
34, 캐리스 밴 허슨,6.947500000000001,6341.25
35, 류혜영,7.662857142857144,636935.2857142857
36, 사쿠라이 타카히로,NULL,NULL
37, 산드라 블록,8.11,1317497.6666666667
38, 에이사 버터필드,7.9366666666666665,12181.833333333334
39, 이아인 글렌,8.2,13000.0
40, 패트릭 스튜어트,8.574,456490.8
41, 이드리스 엘바,7.8566666666666665,2676214.3333333335
42, 크리스토프 왈츠,7.712000000000001,601239.2
43, 어니스트 움하우어,8.33,18000.0
44, 모레나 바카린,8.291666666666666,1632198.5
45, 게리 올드만,7.588333333333334,70067.83333333333
46, 크리스핀 글로버,6.101999999999999,429202.8
47, 이기홍,7.836666666666667,1235333.3333333333
48, 폴 워커,7.728333333333333,1022625.8
49, 곽두조,NULL,NULL
50, 올가 쿠릴렌코,7.84,20976.0
51, 추상미,7.116666666666667,146897.83333333334
52, 엔리크 포셀라나,7.43,99000.0
53, 문석범,6.542,29184.2
54, 오마르 차파로,7.836666666666666,349000.0
55, 자끄 페렝,7.9959999999999996,129862.2
56, 메간 폭스,7.081999999999999,287471.75
57, 문근영,8.07,1904600.0
58, 옥한흠,NULL,NULL
59, 박경혜,8.305,1069174.25
60, 우디 해럴슨,7.175714285714285,1041694.4285714285
61, 알렉스 뉴이스테터,8.27,18000.0
62, 사사키 미유,9.25,170000.0
63, 마이클 케슬러,6.6933333333333325,31227.333333333332
64, 페드로 파스칼,8.023333333333333,1993333.3333333333
65, 제이슨 모모아,7.853999999999999,1654131.0
66, 송중기,8.138333333333334,3270333.3333333335
67, 콘노 아유리,NULL,NULL
68, 이성경,8.083333333333334,1020000.0
69, 스눕 독,5.93,215000.0
70, 모리타카 아이,7.775,60666.666666666664
71, 존 헤저,8.805,54500.0
72, 제니퍼 코넬리,NULL,NULL
73, 마일즈 헤이저,8.325,35725.666666666664
74, 미셸 빌레모,NULL,NULL
75, 스와 나나카,NULL,NULL
76, 조지 맥케이,8.357142857142858,152635.33333333334
77, 윌리암 피츠너,6.239999999999999,1278.0
78, 캐서린 제타 존스,7.153999999999999,630200.0
79, 배두나,7.638,1879200.0
80, 마이린 로비치,7.85,920000.0
81, 매기 큐,6.278333333333333,78331.6
82, 브리타니 스노우,6.946666666666666,38930.0
83, 나자닌 보니아디,8.6925,1511000.0
84, 마이키 볼트,NULL,NULL
85, 애슐리 소머즈,NULL,NULL
86, 파일,NULL,NULL
87, 제프 다니엘스,7.946666666666668,1049800.0
