,name,r_avg,a_avg
0, 파티마 사나 셰이크,9.62,100000.0
1, 정우성,7.721666666666667,1006166.6666666666
2, 하시모토 아이,6.94,3585.6
3, 칸이치로,7.48,98021.5
4, 미셸 파이퍼,8.175999999999998,1561000.0
5, 김군,NULL,NULL
6, 김예원,7.29,1591428.5714285714
7, 카라 엘레할데,7.5600000000000005,15385.0
8, 제라르딘 나카체,6.84,15000.0
9, 신은경,6.60375,411200.0
10, 강금연,NULL,NULL
11, 차성덕,NULL,NULL
12, 일라이저 우드,5.543333333333333,41258.666666666664
13, 조셉 마젤로,7.956,4100000.0
14, 이영석,NULL,NULL
15, 토쿠이 소라,NULL,NULL
16, 이마이 아사미,NULL,NULL
17, 사브리나 페릴리,7.84,44000.0
18, 추상미,7.116666666666667,146897.83333333334
19, 라일리 오스본,8.27,570000.0
20, 손윤상,NULL,NULL
21, 코코,NULL,NULL
22, 로라 리니,8.18,153274.66666666666
23, 진경,7.814999999999999,2005333.3333333333
24, 장경희,NULL,NULL
25, 김주혁,8.02125,2116000.0
26, 소피아 베르가라,6.728333333333334,37735.666666666664
27, 크리스 브라운,NULL,NULL
28, 멜리사 조안 하트,9.56,39000.0
29, 김춘희,NULL,NULL
30, 마치아스 슈와바이어퍼,7.7650000000000015,38000.0
31, 엘리아데스 오초아,NULL,NULL
32, 강수진,8.2,3116.0
33, 모로호시 스미레,NULL,NULL
34, 사카구치 켄타로,8.28,15015.6
35, 브리지트 포시,8.678,9497.0
36, 최민호,NULL,NULL
37, 김리흔,NULL,NULL
38, 제프 브리지스,8.164285714285715,838285.7142857143
39, 존 트라볼타,5.43,247.0
40, 이계인,6.949999999999999,104584.2
41, 프레더릭 피에롯,NULL,NULL
42, 데이비드 호크니,NULL,NULL
43, 김연우,NULL,NULL
44, 조던 캘러웨이,6.78,73000.0
45, 토마스 이안 니콜라스,7.140000000000001,29000.0
46, 크리스토프 하덱,NULL,NULL
47, 레베카 퍼거슨,8.298571428571428,1531142.857142857
48, 올리비아 데종,7.13,28289.5
49, 천호진,7.1499999999999995,2536333.3333333335
50, 조니 웨스턴,7.666666666666668,447101.8333333333
51, 래닉 가우트리,NULL,NULL
52, 다코타 존슨,8.44,31042.0
53, 할리 베리,7.909999999999999,2569500.0
54, 곽규미,NULL,NULL
55, 린다 라킨,7.240000000000001,1750000.0
56, 손선영,8.21,6060000.0
57, 크리스텔라 알론조,NULL,NULL
58, 조승연,7.99,2586742.375
59, 소정환,NULL,NULL
60, 타카야마 미나미,NULL,NULL
61, 아리안 라베드,7.79,147333.33333333334
62, 엘리자베스 모스,8.17,428800.0
63, 프라파스 콜사라논,NULL,NULL
64, 이동휘,8.528,2397880.25
65, 틸다 스윈튼,7.326666666666667,28750.0
66, 마리아 시드,8.2,19000.0
67, 노아 주프,7.781666666666666,553308.6
68, 르자,7.236666666666667,32666.666666666668
69, 차이나 앤 맥클레인,7.140000000000001,29000.0
70, 에이미 와인하우스,NULL,NULL
71, 이재범,NULL,NULL
72, 나자닌 보니아디,8.6925,1511000.0
73, 마크 러팔로,8.968571428571428,5807142.857142857
74, 나가하마 신,8.45,82500.0
75, 이청아,7.768000000000001,1823800.0
76, 엘리자베스 라일,6.78,73000.0
77, 랜스 임,8.2,795500.0
78, 이천희,7.5725,292883.375
79, 김정태,7.703333333333333,433241.5
80, 알베트 블리크펠트,NULL,NULL
81, 패트릭 윌슨,NULL,NULL
82, 시아란 힌즈,7.3149999999999995,635206.0
83, 마리오 마우러,6.426666666666667,6349.333333333333
84, 송지효,7.258571428571428,1396666.6666666667
85, 김영순,NULL,NULL
86, 터커 알브리지,7.8875,352750.0
87, 쿠도 아스카,8.04,13114.333333333334
88, 로버트 시한,7.826666666666665,322554.0
89, 메리 엘리자베스 윈스티드,8.083333333333334,376666.6666666667
90, 빈센트 레건,5.23,NULL
91, 빌 세이지,8.48,1383.5
92, 이아인,NULL,NULL
93, 박금분,NULL,NULL
94, 레이첼 니콜스,4.1,5171.666666666667
95, 한나 웨어,7.156000000000001,23315.0
