,name,r_avg,a_avg
0, 정우성,NULL,NULL
1, 가렛 에드워즈,6.45,570360.0
2, 프란시스 닐슨,6.49,33000.0
3, 노영미,NULL,25000.0
4, 피터 시걸,8.280000000000001,148666.66666666666
5, 카밀 들라마레,7.287142857142858,662142.8571428572
6, 차성덕,8.182,217491.0
7, 프라순 샤터지,NULL,NULL
8, 제임스 드모나코,6.026666666666667,64924.666666666664
9, 추상미,7.116666666666667,146897.83333333334
10, 나카무라 쇼코,NULL,NULL
11, 프레데릭 벨,NULL,NULL
12, 송창용,6.1016666666666675,241840.33333333334
13, 김성권,8.673333333333334,68117.66666666667
14, 유야마 쿠니히코,8.587142857142856,256714.2857142857
15, 서극,6.964,4236.75
16, 제임스 콕스,5.89,17000.0
17, 줄리안 슈나벨,8.51,33000.0
18, 피터 웨버,7.518000000000001,68666.4
19, 시즈노 코분,8.765,410000.0
20, 로랑 캉테,7.745,8253.0
21, 샤론 맥과이어,8.885,820000.0
22, 소피 길모어,NULL,NULL
23, 타카야마 미나미,NULL,NULL
24, 데이비드 F. 샌드버그,7.66,1230000.0
25, 프라파스 콜사라논,7.94,150000.0
26, 백승빈,6.2299999999999995,96338.8
27, 틸다 스윈튼,NULL,NULL
28, 수잔 비에르,8.005714285714285,22509.85714285714
29, 문현성,NULL,NULL
30, 김대창,8.54,13000.0
31, 오치아이 켄,NULL,387.0
32, 기타가와 에리코,7.963333333333334,36693.0
33, 문제용,7.590000000000001,1873333.3333333333
34, 라인하드 클루스,NULL,NULL
35, 윤제완,9.21,820000.0
36, 바랫 낼러리,NULL,NULL
37, 마이클 패터슨,NULL,NULL
38, 쯔씽 쫑,NULL,NULL
39, 조나단 데이턴,8.536666666666667,25333.333333333332
40, 황연,NULL,NULL
41, 스티븐 스필버그,7.613999999999999,1896000.0
42, 니테쉬 티와리,NULL,NULL
43, 김용화,8.454285714285716,7761428.571428572
44, 조셉 코신스키,8.273333333333333,663333.3333333334
45, 석민우,7.174285714285714,1356666.6666666667
46, 마이클 노어,8.86,35000.0
47, 이일형,7.5625,4330000.0
48, 다현,NULL,NULL
