director
 딘 데블로이스
 페르난도 메이렐레스
 패트리시아 리건
 장안치
 스테파노 솔리마
 라즐로 네메스
 이경미
 디파 메타
 루 추안
 벤 차오
 일리야 나이슐러
 리테쉬 바트라
 타케모토 노보루
 프라순 샤터지
 라나 워쇼스키
 임대웅
 정윤철
 윤제균
 배성상
 애덤 윈가드
 맥지
 오치아이 켄
 존 어윈
 조용선
 권칠인
 지안밍 후앙
 피터 시걸
 안나 포드칼스카
 와타다 신야
 구모
 코지마 마사유키
 롭 마샬
 김유성
 진
 이종석
 나카자와 쇼지로
 피터 뮬란
 알레산드로 칼로니
 미나
 존 추
 마이클 도즈
 주드 아패토우
 은정
 존 크래신스키
 조 존스톤
 캐스린 비글로우
 크리스토퍼 젠킨스
 김대웅
 다니엘 래드클리프
 커트 보엘커
 로버트 페르난데스
 핀 테일러
 이원태
 이한욱
 우문기
 배두나
 카메론 디아즈
 미카엘 하프스트롬
 알렉스 프로야스
 하야토 다테
 황연
 테미 데이비스
 신연식
 이성태
 카와나미 에이사쿠
 브렉 에이즈너
 크리스찬 거드게스트
 이시다 히로야스
 세스 라니
 사이먼 커티스
 동대가
 박희곤
 한석규
 안느 퐁텐
 막심 볼코브
 타치카와 유즈루
 안소니 마라스
 댄 세인트 피에르
 김지훈
 마이클 스피어리그
 나가이 타츠유키
 셰인 블랙
 김태윤
 브라이언 A 밀러
 추창민
 이수연
 김성호
 알렉세이 트시칠린
 토머스 보덴스테인
 필립 세이모어 호프만
 김아론
 올리버 달리
 심은경
 후안 안토니오 바요나
 최진성
 제임스 보빈
 제프 와드로
 데니스 체르노프
 마츠오카 조지
 노영석
 피터 클라릿지
 그렉 아라키
 존 매든
 오뢰
 대런 아로노프스키
 앤소니 파워
 린 램지
 김태식
 프라파스 콜사라논
 안나 포에스터
 마크 메르텐스
 요아킴 뢰닝
 로드니 로스맨
 모건 매튜스
 이도 엔젤
 타다 슌스케
 아리 포신
 장춘
 필립 드 쇼브홍
 김진무
 에릭 토스티
 스리람 라그하반
 타케우치 히데키
 리차드 커티스
 최상훈
 콤핀 켐군니르드
 오모리 타츠시
 김학순
 크리스토퍼 놀란
 쉬커
 강윤성
 제임스 드모나코
 오자와 료타
 아사쿠라 아키
 송민규
 박시후
 정지훈
 이윤기
 미야자키 하야오
 스티븐 스필버그
 토마스 빈터베르그
 권종관
 제이슨 자다
 크리스토퍼 맥쿼리
 박규택
 다코타 패닝
 피터 듀크스
 고로 사쿠라
 헤일리 베넷
 크리스티안 디터
 제이크 T. 오스틴
 론 쉐르픽
 플로리안 데이비드 핏츠
 던칸 존스
 장형윤
 레오 로
 저스틴 채드윅
 김선
 이와이 슌지
 마츠다 류헤이
 로렌 스카파리아
 다리오 아르젠토
 마틴 스콜세지
 유영선
 장건재
 라자 고스넬
 김상경
 고어 버빈스키
 찰리 시스켈
 나가오카 치카
 댄 크레치
 라스 폰 트리에
 앤디 서키스
 릴리 콜린스
 트래비스 나이트
 이상근
 안소니 스타치
 제니퍼 로렌스
 장철수
 조성희
 저스틴 린
 장동건
 제임스 플린
 나카에 이사무
 코바야시 츠네오
 카를로스 구티에레스 메드라노
 임상수
 피터 스피어리그
 존 힐코트
 크리스토퍼 스펜서
 루카스 퀴아오
 이성재
 카말 반살
 이반 로웬버그
 방수인
 사울 딥
 김남길
 마틴 코틱
 장-프랑소아 풀리오
