,name
1, 정우성
2, 가렛 에드워즈
3, 프란시스 닐슨
4, 노영미
5, 피터 시걸
6, 카밀 들라마레
7, 차성덕
8, 프라순 샤터지
9, 제임스 드모나코
10, 추상미
11, 나카무라 쇼코
12, 프레데릭 벨
13, 송창용
14, 김성권
15, 유야마 쿠니히코
16, 서극
17, 제임스 콕스
18, 줄리안 슈나벨
19, 피터 웨버
20, 시즈노 코분
21, 로랑 캉테
22, 샤론 맥과이어
23, 소피 길모어
24, 타카야마 미나미
25, 데이비드 F. 샌드버그
26, 프라파스 콜사라논
27, 백승빈
28, 틸다 스윈튼
29, 수잔 비에르
30, 문현성
31, 김대창
32, 오치아이 켄
33, 기타가와 에리코
34, 문제용
35, 라인하드 클루스
36, 윤제완
37, 바랫 낼러리
38, 마이클 패터슨
39, 쯔씽 쫑
40, 조나단 데이턴
41, 황연
42, 스티븐 스필버그
43, 니테쉬 티와리
44, 김용화
45, 조셉 코신스키
46, 석민우
47, 마이클 노어
48, 이일형
49, 다현
50, 김휘
51, 김용완
52, 숀 레비
53, 장하오
54, 박찬경
55, 피에르 꼬팽
56, 댄 크레치
57, 자크 데미
58, 홍원찬
59, 쑤 투르한
60, 동대가
61, 허원
62, 장-클리스토페 리에
63, 하기호
64, 윌리엄 유뱅크
65, 베르나르도 베르톨루치
66, 김상철
67, 제니퍼 리
68, 리 톨랜드 크리거
69, 애덤 윈가드
70, 게리 쇼어
71, 이우철
72, 캐스린 비글로우
73, 브렉 에이즈너
74, 폴 토마스 앤더슨
75, 안용훈
76, 박정오
77, 박명랑
78, 엘리자베스 뱅크스
79, 테미 데이비스
80, 육상효
81, 니콜라스 콜라
82, 조동오
83, 로베르트 슈벤트케
84, 데이미언 셔젤
85, 요아킴 뢰닝
86, 사이몬 J. 스미스
87, 윤제균
88, 세르게이 보드로프
89, 아미노 테츠로
90, 장시림
91, 로저 알러스
92, 피터 듀크스
93, 피오나 고든
94, 마누엘 시실라
95, 모홍진
96, 비탈리 무카메지아노브
97, 루이스 프리에토
98, 안젤리나 졸리
99, 신현원
100, 니마 누리자데
101, 호소다 마사히로
102, 타케모토 야스히로
103, 봉준호
104, 정다운
105, 추창민
106, 강성훈
107, 나가이 아키라
108, 막심 고바레
109, 이광재
110, 월트 베커
111, 존 레귀자모
112, 최국희
113, 닐스 타베니어
114, 이정재
115, 김병기
116, 엄태화
117, 키트 해링턴
118, 훌리오 메뎀
119, 아론 우들리
120, 김수환
121, 자비에르 피카드
122, 이동희
123, 진
124, 제프 와드로
125, 알렉산드르 아야
126, 닐스 아르덴 오플레브
127, 이브게니 아피네예브스키
128, 호소다 마모루
129, 갈수영
130, 마츠타니 미츠에
131, 마이크 니콜스
132, 올리비에 다한
133, 윌 아넷
134, 이안
135, 아사프 마츠니스
136, 제이슨 라이트
137, 젠디 타타코브스키
138, 마크 앳킨스
139, 스콧 모지어
140, 전형준
141, 이민기
142, 에드슨 다 콘세이카오
143, 사무엘 암스트롱
144, 엘렌 홀맨
145, 강우석
146, 프라팟 지와랑산
147, 임필성
148, 장광
149, 로버트 드 니로
150, 에스벤 토프트 야콥슨
151, 손지윤
152, 김진무
153, 가이 리치
154, 한석규
155, 김성기
156, 신상민
157, 마이크 화이트
158, 변성현
159, 데니스 스토르호이
160, 정용기
161, 이현주
162, 리들리 스콧
163, 코지마 마사유키
164, 조던 필
165, 코바야시 유키
166, 노나 그리스하에바
167, 샤를로뜨 갱스부르
168, 헨리 유스트
169, 윌리암 H. 머시
170, 프랭크 밀러
171, 데릭 머레이
172, 안소니 팽크하우저
173, 강윤성
174, 톰 볼프
175, 레오나르도 디카프리오
176, 러셀 크로우
177, 프레드릭 발리프
178, 봉만대
179, 로버트 페르난데스
180, 정지혜
181, 존 매든
182, 에란 크리비
183, 자코 반 도마엘
184, 피터 보그다노비치
185, 맥스 조셉
186, 장유근
187, 이재용
188, 제프리 러쉬
189, 미셸 공드리
190, 릴리 워쇼스키
191, 님로드 앤탈
192, 타카하시 와타루
193, 막심 볼코브
194, 톰 포드
195, 왕운비
196, 알베르토 마르
197, 피터 클라릿지
198, 에릭 섬머
199, 방은진
200, 박해일
201, 윌 핀
202, 샘 햄슨
203, 스티븐 소머즈
204, 사카이 카즈오
205, 쉐일린 우들리
206, 마원
207, 로아 우타우
208, 다니엘 드 필립포
209, 모건 매튜스
210, 제이슨 라이트맨
211, 전도연
212, 임준현
213, 스티븐 달드리
214, 아리 산델
215, 정연식
216, 조규장
217, 이춘백
218, 다라 오코넬
219, 김성호
220, 조성희
221, 미아 한센-러브
222, 카와이 하야토
223, 프랭키 첸
224, 이기니오 스트라피
225, 디토 몬티엘
226, 기예르모 델 토로
227, 질 를르슈
228, 짐 길레스피
229, 히로시 카와마타
230, 마이클 도허티
231, 피터 뮬란
232, 세르지오 레오네
233, 질 부르도스
234, 바너비 톰슨
235, 남대중
236, 임흥순
237, 베노이트 필립폰
238, 황인준
239, 해롤드 크론크
240, 그렉 키니어
241, 리처드 링클레이터
242, 다니엘 에스피노사
243, 라이언 존슨
244, 스콧 만
245, 램버트 윌슨
246, 츠키카와 쇼
247, 피터 램지
248, 김희애
249, 김진열
250, 강유선
251, 타케우치 히데키
252, 코모리 요시히로
253, 루벤 외스틀룬드
254, 라이언 구즈먼
255, 앨런 테일러
256, 알레산드로 칼로니
257, 존 무어
258, 손재곤
259, 세스 맥팔레인
260, 게리 로스
261, 벤 애플렉
262, 스티븐 더햄
263, 이경미
264, 김병갑
265, 전일우
266, 김하라
267, 두기봉
268, 김재환
269, 딘 이스라엘리트
270, 배종
271, 전성우
272, 마이클 차베즈
273, 스티븐 프리어스
274, 김태윤
275, 해리슨 포드
276, 제레미 아이언스
277, 최성현
278, 한종훈
279, 롭 코헨
280, 김윤석
281, 애덤 브라운
282, 설경구
283, 이상근
284, 트래비스 클러프
285, 레니 에이브러햄슨
286, 크리스 파인
287, 주드 아패토우
288, 제이크 캐스단
289, 루벤 플레셔
290, 이주영
291, 쥬세페 토르나토레
292, 임상수
293, 피터 손
294, 오승욱
295, 존 힐코트
296, 테렌스 맬릭
297, 아리 에스터
298, 이연우
299, 피에르 모렐
300, 조엘 슈마허
301, 마이크 컨켈
302, 리 워넬
303, 세르지오 맨피오
304, 스튜어트 베티
305, 던칸 존스
306, 조하네스 로버츠
307, 주걸륜
308, 카와나미 에이사쿠
309, 조 코니쉬
310, 사이먼 킨버그
311, 밥 두셋
312, 일리야 나이슐러
313, 카와무라 토모히로
314, 장률
315, 드웨인 존슨
316, 장항준
317, 빌 어거스트
318, 벤 스틸러
319, 롭 레터맨
320, 박한별
321, 이민재
322, 정주리
323, 타케모토 노보루
324, 마츠오카 조지
325, 구모
326, 스콧 데릭슨
327, 스티브 맥퀸
328, 메릴 스트립
329, 노아 바움백
330, 장재혁
331, 린 사우더랜드
332, 마크 A.Z. 디페
333, 이와이 슌지
334, 야마시타 히로유키
335, 김주호
336, 이안 소프틀리
337, 뤽 다르덴
338, 라세 할스트롬
339, 박인제
340, 마틴 코틱
341, 마츠다 류헤이
342, 키이라 나이틀리
343, 치니티스 룬드그렌
344, 아나벨라 로케
345, 플렉스 할그렌
346, 나카에 이사무
347, 나홍진
348, 찰리 빈
349, 벨라 손
350, 장동건
351, 조엘 코엔
352, 민규동
353, 키시 세이지
354, 마커스 던스탠
355, 전후석
356, 헬레네 지라드
357, 피어스 브로스넌
358, 요하네스 로버츠
359, 전진
360, 존 리 행콕
361, 조원희
362, 애드리안 브로디
363, 제니퍼 로렌스
364, 다카하시 와타루
365, 이장훈
366, 스테판 오비에
367, 닉 파크
368, 콜 산체스
369, 팀 로즌
370, 랜달 라이트
371, 저스틴 린
372, 후지모리 마사야
373, 크리스티안 레브링
374, 정식
375, 마이크 밀스
376, 야론 질버맨
377, 이시다 히로야스
378, 조엘 킨나만
379, 토드 헤인즈
380, 오성윤
381, 김성수
382, 빅터 라키소프
383, 피터 쿠센스
384, 야노 유이치로
385, 마이클 피트
386, 트래비스 나이트
387, 김현호
388, 크리스찬 리버스
389, 조정래
390, 더스틴 호프만
391, 오자운
392, 세드릭 클라피쉬
393, 아담 갠저
394, 박태동
395, 블라디미르 토로프킨
396, 맥조휘
397, 진슈
398, 조의석
399, 권영락
400, 쿠마자와 나오토
401, 강효진
402, 이재규
403, 셰인 블랙
404, 미카엘 하프스트롬
405, 사이먼 페그
406, 폴 페이그
407, 성룡
408, 로저 컴블
409, 안노 히데아키
410, 앙겔라 슈테판
411, 에드가 라이트
412, 윌리엄 올드로이드
413, 코바야시 츠네오
414, 펠릭스 보쉬
415, 홍지영
416, 토니 케이
417, 연상호
418, 테드 니콜로
419, 김의석
420, 이시하라 타츠야
421, 아쉬가르 파라디
422, 정미화
423, 조용선
424, 제레미 데그루손
425, 질스 파겟-브레너
426, 레니 할린
427, 카메론 디아즈
428, 스티브 마티노
429, 카를로스 살다나
430, 마이크 리
431, 레오폴도 아귈라
432, 윌프레드 잭슨
433, 강소연
434, 다카하시 아츠시
435, 브렌든 프레이저
436, 크리스토퍼 랜던
437, 폴 버호벤
438, 얀 라벡
439, 존 머스커
440, 캐서린 비글로우
441, 치웨텔 에지오포
442, 낸시 플로렌스 사바르
443, 마크 포스터
444, 장형윤
445, 엘르 패닝
446, 김성훈
447, 윌 베처
448, 커일 칼빈
449, 우시로 신지
450, 올리버 스톤
451, 사샤 고든
452, 매튜 맥커너히
453, 라이 루소 영
454, 도이 노부히로
455, 박제현
456, 갈리나 미클리노바
457, 송강호
458, 리신 판
459, 라이언 플렉
460, 후안 비셍트 만리쿠에
461, 브래드 버드
462, 줄리안 조단
463, 김재희
464, 에스펜 잔드베르크
465, 딘 패리소트
466, 테이트 테일러
467, 유스리 압드 하림
468, 김주환
469, 권칠인
470, 최진성
471, 존 스티븐슨
472, 데이빗 토히
473, 맥지
474, 크리스 윌리엄스
475, 미키 키팅
476, 루카 구아다니노
477, 크리스 콜럼버스
478, 벤 차오
479, 피터 첼섬
480, 풍덕륜
481, 피터 스피어리그
482, 박창진
483, 애덤 로비텔
484, 쏘어 프류덴탈
485, 나연
486, 루 추안
487, 스리람 라그하반
488, 이상호
489, 장이머우
490, 빔 벤더스
491, 구스타보 타레토
492, 리처드 펠런
493, 애드리언 그런버그
494, 주호성
495, 조 라이트
496, 해럴드 즈워트
497, 벤 웨틀리
498, 야쿠와 신노스케
499, 이토 히데키
500, 아론 미르테스
501, 김성홍
502, 구스 반 산트
503, 티모 오테반거
504, 박일호
505, 허정
506, 나오미 포너
507, 마틴 캠벨
508, 윤종찬
509, 조민호
510, 헤일리 베넷
511, 조나단 레빈
512, 류승완
513, 니콜라이 퓰시
514, 바박 나자피
515, 윤창섭
516, 은지원
517, 데이빗 프랭클
518, 주지홍
519, 양윤호
520, 원신연
521, 이재진
522, 션 베이커
523, 박혁지
524, 조진규
525, 케빈 먼로
526, 이마이 카즈아키
527, 정국
528, 커스틴 쉐리단
529, 크리스 피언
530, 아이치버 올레스코아가
531, 줄 아리핀
532, 시모사와 신타로
533, 오다 마나부
534, 조스 웨던
535, 알폰소 고메즈-레존
536, 구스타보 지아니니
537, 장준환
538, 이호경
539, 데이빗 맥킨지
540, 데이빗 소렌
541, 리처드 라그라브네스
542, 김성제
543, 로랑 티라르
544, 이용승
545, 문창용
546, 제임스 카메론
547, 유키사다 이사오
548, 롤랜드 에머리히
549, 김인권
550, 정희성
551, 조성규
552, 한스 페터 몰란트
553, 레온 주센
554, 천우희
555, 하네스 홀름
556, 릭 오스터만
557, 가스 제닝스
558, 피터 버그
559, 안톤 코르빈
560, 김광식
561, 박돈사
562, 홍기선
563, 이선호
564, 리처드 글랫저
565, 댄 세인트 피에르
566, 김지영
567, 홍용호
568, 김강우
569, 토미 위르콜라
