idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31
0,부산행,2016.7.20,"93,178,283,048",5.3%,"11,565,479","1,788","151,315",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 연상호,,,, 공유, 정유미, 마동석, 김수안, 김의성, 최우식, 안소희,,,,,,,,,,,,,,,,,,,,,,,,
1,검사외전,2016.2.3,"77,320,403,264",4.4%,"9,707,581","1,812","153,532",한국,한국,(주)쇼박스, 이일형,,,, 황정민, 강동원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,캡틴 아메리카: 시빌 워,2016.4.27,"72,672,111,827",4.2%,"8,677,249","1,991","161,696",미국,미국,월트디즈니컴퍼니코리아(주), 안소니 루소, 조 루소,,, 크리스 에반스, 로버트 다우니 주니어, 스칼릿 조핸슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,밀정,2016.9.7,"61,269,783,831",3.5%,"7,500,420","1,444","138,161",한국,"한국,미국",워너브러더스 코리아(주), 김지운,,,, 송강호, 공유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,터널,2016.8.10,"57,529,484,417",3.3%,"7,120,508","1,105","113,201",한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,인천상륙작전,2016.7.27,"55,101,410,303",3.2%,"7,049,643","1,049","97,019",한국,한국,(주)씨제이이엔엠, 이재한,,,, 이정재, 이범수, 리암 니슨, 진세연,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,럭키,2016.10.13,"56,444,461,256",3.2%,"6,975,290","1,234","155,977",한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,곡성,2016.5.12,"55,863,520,382",3.2%,"6,879,908","1,485","130,322",한국,"한국,미국",이십세기폭스코리아(주), 나홍진,,,, 곽도원, 황정민, 쿠니무라 준, 천우희, 김환희,,,,,,,,,,,,,,,,,,,,,,,,,,
8,덕혜옹주,2016.8.3,"44,393,828,109",2.5%,"5,599,229",964,"97,312",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 허진호,,,, 손예진, 박해일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,닥터 스트레인지,2016.10.26,"47,481,830,396",2.7%,"5,446,239","1,503","162,856",미국,미국,월트디즈니컴퍼니코리아(주), 스콧 데릭슨,,,, 베네딕트 컴버배치, 레이첼 맥아담스, 틸다 스윈튼, 매즈 미켈슨, 치웨텔 에지오포,,,,,,,,,,,,,,,,,,,,,,,,,,
10,마스터,2016.12.21,"39,784,641,065",2.3%,"4,935,320","1,501","70,786",한국,한국,(주)씨제이이엔엠, 조의석,,,, 이병헌, 강동원, 김우빈, 엄지원, 오달수, 진경,,,,,,,,,,,,,,,,,,,,,,,,,
11,주토피아,2016.2.17,"37,096,057,742",2.1%,"4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주), 바이론 하워드, 리치 무어,,, 지니퍼 굿윈, 제이슨 베이트먼, 샤키라, 이드리스 엘바, 알란 터딕, J.K. 시몬스,,,,,,,,,,,,,,,,,,,,,,,,,
12,신비한 동물사전,2016.11.16,"39,300,515,858",2.3%,"4,662,534","1,431","115,676",미국,"미국,영국",워너브러더스 코리아(주), 데이빗 예이츠,,,, 에디 레드메인, 조니 뎁, 캐서린 워터스턴, 주드 로, 에즈라 밀러,,,,,,,,,,,,,,,,,,,,,,,,,,
13,판도라,2016.12.7,"33,955,398,164",1.9%,"4,313,864","1,184","90,758",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,아가씨,2016.6.1,"35,211,229,991",2.0%,"4,287,839","1,171","90,365",한국,한국,(주)씨제이이엔엠, 오즈 야스지로,,,, 쿠리시마 스미코, 오카다 토키히코,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,쿵푸팬더3,2016.1.28,"31,340,798,156",1.8%,"3,984,812","1,365","97,404",미국,미국,(주)씨제이이엔엠, 여인영, 알레산드로 칼로니,,, 잭 블랙, 안젤리나 졸리, 더스틴 호프만, 성룡, 세스 로건, 루시 리우, 데이빗 크로스, J.K. 시몬스, 케이트 허드슨, 제임스 홍, 브라이언 크랜스톤,,,,,,,,,,,,,,,,,,,,
16,귀향,2016.2.24,"27,249,738,990",1.6%,"3,587,173",876,"90,286",한국,한국,(주)와우픽쳐스, 할 애쉬비,,,, 제인 폰다, 존 보이트, 브루스 던, 페네로피 밀포드, 로버트 캐러딘, 로버트 진티,,,,,,,,,,,,,,,,,,,,,,,,,
17,데드풀,2016.2.17,"27,595,618,651",1.6%,"3,317,196","1,036","82,521",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 데이빗 레이치,,,, 라이언 레이놀즈, 프레드 세비지, 조슈 브롤린, 재지 비츠, 모레나 바카린,,,,,,,,,,,,,,,,,,,,,,,,,,
18,나우 유 씨 미 2,2016.7.13,"25,116,690,113",1.4%,"3,100,113","1,200","56,981",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 존 추,,,, 제시 아이젠버그, 마크 러팔로, 우디 해럴슨, 데이브 프랭코, 리지 캐플란,,,,,,,,,,,,,,,,,,,,,,,,,,
19,형,2016.11.23,"23,113,768,293",1.3%,"2,979,659",993,"83,518",한국,한국,(주)씨제이이엔엠, 권수경,,,, 조정석, 디오, 박신혜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,엑스맨: 아포칼립스,2016.5.25,"24,467,887,950",1.4%,"2,938,818","1,262","66,471",미국,미국,이십세기폭스코리아(주), 브라이언 싱어,,,, 제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스, 오스카 아이삭, 니콜라스 홀트,,,,,,,,,,,,,,,,,,,,,,,,,,
21,미스 페레그린과 이상한 아이들의 집,2016.9.28,"21,841,214,586",1.3%,"2,718,158",904,"70,451",미국,"미국,벨기에,영국",이십세기폭스코리아(주), 팀 버튼,,,, 에바 그린, 에이사 버터필드, 사무엘 L. 잭슨, 앨리슨 제니, 엘라 퍼넬, 주디 덴치, 킴 딕켄스, 크리스 오다우드,,,,,,,,,,,,,,,,,,,,,,,
22,히말라야,2015.12.16,"20,705,587,567",1.2%,"2,630,352",955,"61,673",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,제이슨 본,2016.7.27,"21,253,434,663",1.2%,"2,611,966",827,"39,806",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 폴 그린그래스,,,, 맷 데이먼, 알리시아 비칸데르, 뱅상 카셀, 줄리아 스타일스, 토미 리 존스,,,,,,,,,,,,,,,,,,,,,,,,,,
24,도리를 찾아서,2016.7.6,"20,703,899,933",1.2%,"2,601,734","1,091","55,110",미국,미국,월트디즈니컴퍼니코리아(주), 앤드류 스탠튼,,,, 엘런 드제너러스, 앨버트 브룩스, 에드 오닐, 케이틀린 올슨, 헤이든 롤렌스, 이드리스 엘바, 도미닉 웨스트, 다이안 키튼,,,,,,,,,,,,,,,,,,,,,,,
