idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30
0,택시운전사,2017.8.2,"95,853,645,649",5.5%,"12,186,327","1,906","184,075",한국,한국,(주)쇼박스, 장훈,,,, 송강호, 토마스 크레취만, 유해진, 류준열,,,,,,,,,,,,,,,,,,,,,,,,,,
1,신과함께-죄와 벌,2017.12.20,"68,350,496,432",3.9%,"8,539,495","1,912","91,301",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김용화,,,, 하정우, 차태현, 주지훈, 김향기, 김동욱, 마동석,,,,,,,,,,,,,,,,,,,,,,,,
2,공조,2017.1.18,"63,783,051,326",3.6%,"7,817,618","1,392","142,989",한국,한국,(주)씨제이이엔엠, 김성훈,,,, 현빈, 유해진, 김주혁,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,스파이더맨: 홈 커밍,2017.7.5,"59,125,813,820",3.4%,"7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 존 왓츠,,,, 톰 홀랜드, 마이클 키튼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,범죄도시,2017.10.3,"56,318,014,149",3.2%,"6,879,841","1,315","149,334",한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹", 강윤성,,,, 마동석, 윤계상,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,군함도,2017.7.26,"50,510,565,168",2.9%,"6,592,151","2,027","108,775",한국,한국,(주)씨제이이엔엠, 류승완,,,, 황정민, 소지섭, 송중기, 이정현, 김수안,,,,,,,,,,,,,,,,,,,,,,,,,
6,청년경찰,2017.8.9,"44,381,150,516",2.5%,"5,653,270","1,102","118,544",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김주환,,,, 박서준, 강하늘,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,더 킹,2017.1.18,"43,488,814,535",2.5%,"5,317,693","1,310","107,983",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,미녀와 야수,2017.3.16,"42,133,751,579",2.4%,"5,138,328","1,627","140,561",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,킹스맨: 골든 서클,2017.9.27,"40,987,484,736",2.3%,"4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주), 매튜 본,,,, 콜린 퍼스, 줄리안 무어, 태런 에저튼,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,토르: 라그나로크,2017.10.25,"39,227,691,395",2.2%,"4,853,778","1,640","137,423",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 타이카 와이티티,,,, 크리스 헴스워스, 마크 러팔로, 톰 히들스턴, 케이트 블란쳇,,,,,,,,,,,,,,,,,,,,,,,,,,
11,꾼,2017.11.22,"31,312,029,795",1.8%,"4,018,035","1,314","117,398",한국,한국,(주)쇼박스, 장창원,,,, 현빈, 유지태, 배성우, 박성웅, 나나, 안세하,,,,,,,,,,,,,,,,,,,,,,,,
12,강철비,2017.12.14,"31,994,897,566",1.8%,"4,014,293","1,426","66,760",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 양우석,,,, 정우성, 곽도원, 유연석, 앵거스 맥페이든,,,,,,,,,,,,,,,,,,,,,,,,,,
13,남한산성,2017.10.3,"31,225,083,792",1.8%,"3,849,087","1,229","71,101",한국,한국,(주)씨제이이엔엠, 황동혁,,,, 이병헌, 김윤석, 박해일, 고수, 박희순,,,,,,,,,,,,,,,,,,,,,,,,,
14,미이라,2017.6.6,"30,504,689,978",1.7%,"3,689,325","1,257","105,228",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 알렉스 커츠만,,,, 톰 크루즈, 소피아 부텔라, 애나벨 월리스,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,분노의 질주: 더 익스트림,2017.4.12,"29,981,156,348",1.7%,"3,653,238","1,469","113,241",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유), F. 게리 그레이,,,, 빈 디젤, 드웨인 존슨, 샤를리즈 테론, 제이슨 스타뎀,,,,,,,,,,,,,,,,,,,,,,,,,,
16,너의 이름은.,2017.1.4,"29,251,793,156",1.7%,"3,637,608",947,"82,978",일본,일본,메가박스중앙(주)플러스엠, 신카이 마코토,,,, 카미키 류노스케, 카미시라이시 모네,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,슈퍼배드 3,2017.7.26,"24,217,091,019",1.4%,"3,324,874","1,057","59,388",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 카일 발다, 피에르 꼬팽,,, 스티브 카렐, 크리스틴 위그, 트레이 파커,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,아이 캔 스피크,2017.9.21,"25,526,451,186",1.5%,"3,279,296","1,140","93,012",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스", 김현석,,,, 나문희, 이제훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,캐리비안의 해적: 죽은 자는 말이 없다,2017.5.24,"24,975,495,122",1.4%,"3,049,894","1,357","85,225",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 요아킴 뢰닝, 에스펜 잔드베르크,,, 조니 뎁, 하비에르 바르뎀, 제프리 러쉬, 브렌튼 스웨이츠, 카야 스코델라리오,,,,,,,,,,,,,,,,,,,,,,,,,
20,프리즌,2017.3.23,"23,790,276,987",1.4%,"2,931,897","1,047","89,024",한국,한국,(주)쇼박스, 나현,,,, 한석규, 김래원, 강신일,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,덩케르크,2017.7.20,"24,550,541,348",1.4%,"2,788,732","1,252","65,906",미국,"미국,영국",워너브러더스 코리아(주), 크리스토퍼 놀란,,,, 핀 화이트헤드, 마크 라이런스, 톰 하디, 해리 스타일스, 아뉴린 바나드, 톰 글린 카니, 잭 로던, 배리 케오간, 케네스 브래너, 킬리언 머피,,,,,,,,,,,,,,,,,,,,
22,가디언즈 오브 갤럭시 VOL. 2,2017.5.3,"23,452,686,686",1.3%,"2,735,721","1,218","63,789",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 제임스 건,,,, 크리스 프랫, 조 샐다나, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼,,,,,,,,,,,,,,,,,,,,,,,,,
23,살인자의 기억법,2017.9.6,"21,375,287,492",1.2%,"2,658,589","1,064","88,686",한국,한국,(주)쇼박스, 원신연,,,, 설경구, 김남길, 설현, 오달수,,,,,,,,,,,,,,,,,,,,,,,,,,
24,트랜스포머: 최후의 기사,2017.6.21,"21,501,959,228",1.2%,"2,614,601","1,739","87,234",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 마이클 베이,,,, 마크 월버그, 안소니 홉킨스, 로라 하드독, 조쉬 더하멜,,,,,,,,,,,,,,,,,,,,,,,,,,
25,보안관,2017.5.3,"20,844,488,409",1.2%,"2,588,628","1,091","63,709",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 젠 웩슬러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,조작된 도시,2017.2.9,"20,143,992,587",1.1%,"2,515,501","1,019","62,241",한국,한국,(주)씨제이이엔엠, 배종,,,, 지창욱, 심은경, 안재홍,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,보스 베이비,2017.5.3,"18,936,306,704",1.1%,"2,452,245","1,116","48,379",미국,미국,(주)씨제이이엔엠, 톰 맥그라스,,,, 알렉 볼드윈, 제임스 마스던, 에이미 세다리스,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,재심,2017.2.15,"19,266,319,637",1.1%,"2,421,197",935,"68,402",한국,한국,"오퍼스픽쳐스(유),CGV아트하우스", 김태윤,,,, 정우, 강하늘, 김해숙,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,박열,2017.6.28,"18,093,639,795",1.0%,"2,359,206","1,176","78,499",한국,한국,메가박스중앙(주)플러스엠, 이준익,,,, 이제훈, 최희서, 김인우,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,모아나,2017.1.12,"18,056,417,307",1.0%,"2,310,206",953,"53,162",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,마스터,2016.12.21,"18,283,595,800",1.0%,"2,215,266","1,245","56,141",한국,한국,(주)씨제이이엔엠, 조의석,,,, 이병헌, 강동원, 김우빈, 엄지원, 오달수, 진경,,,,,,,,,,,,,,,,,,,,,,,,
32,로건,2017.3.1,"18,391,060,223",1.0%,"2,169,109",954,"68,709",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 제임스 맨골드,,,, 휴 잭맨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,원더 우먼,2017.5.31,"17,468,588,886",1.0%,"2,165,401","1,034","57,818",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,겟 아웃,2017.5.17,"17,431,830,075",1.0%,"2,138,174",945,"56,530",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 조던 필,,,, 다니엘 칼루야, 앨리슨 윌리암스, 브래드리 휘트포드, 캐서린 키너,,,,,,,,,,,,,,,,,,,,,,,,,,
35,혹성탈출: 종의 전쟁,2017.8.15,"16,854,482,778",1.0%,"2,051,315","1,017","44,543",미국,미국,이십세기폭스코리아(주), 맷 리브스,,,, 앤디 서키스, 우디 해럴슨, 스티브 잔, 아미아 밀러,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1987,2017.12.27,"15,254,004,037",0.9%,"1,942,077","1,299","27,619",한국,한국,(주)씨제이이엔엠, 장준환,,,, 김윤석, 하정우, 유해진, 김태리, 박희순, 이희준,,,,,,,,,,,,,,,,,,,,,,,,
37,애나벨 : 인형의 주인,2017.8.10,"15,527,492,238",0.9%,"1,934,270","1,006","35,103",미국,미국,워너브러더스 코리아(주), 데이비드 F. 샌드버그,,,, 스테파니 시그만, 탈리타 베이트먼, 앨리시아 벨라 베일리, 미란다 오토,,,,,,,,,,,,,,,,,,,,,,,,,,
38,노무현입니다,2017.5.25,"14,556,517,612",0.8%,"1,855,149",775,"61,327",한국,한국,"CGV아트하우스,영화사 풀", 이창재,,,, 노무현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,저스티스 리그,2017.11.15,"14,629,677,795",0.8%,"1,786,383","1,308","73,390",미국,미국,워너브러더스 코리아(주), 잭 스나이더,,,, 벤 애플렉, 헨리 카빌, 갤 가돗, 제이슨 모모아, 에즈라 밀러, 레이 피셔,,,,,,,,,,,,,,,,,,,,,,,,
40,킬러의 보디가드,2017.8.30,"14,020,395,800",0.8%,"1,721,757",482,"42,002",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온", 패트릭 휴즈,,,, 라이언 레이놀즈, 사무엘 L. 잭슨, 셀마 헤이엑,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,콩: 스컬 아일랜드,2017.3.8,"13,990,563,383",0.8%,"1,689,717",984,"56,425",미국,미국,워너브러더스 코리아(주), 조던 복트-로버츠,,,, 톰 히들스턴, 사무엘 L. 잭슨, 브리 라슨,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,23 아이덴티티,2017.2.22,"13,609,648,135",0.8%,"1,675,819",952,"44,104",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), M. 나이트 샤말란,,,, 제임스 맥어보이, 안야 테일러 조이,,,,,,,,,,,,,,,,,,,,,,,,,,,,
