,X,name,nation,rep_nation,distributor,director1,director2,director3,director4,director5,director6,director7,director8,director9,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46,date3,month,year,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,sales_share,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
1,125,0.0MHz,한국,한국,(주)스마일이엔티, 유선동,,,,,,,NA,NA, 정은지, 이성열, 최윤영, 신주환, 정원창,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.5.29,5,2019,1088258860,137294,446,5998,한국,5,0,15세 관람가,102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.10%,419333.3333,7.146666667,1134619.646,7.202083333
2,1232,007 스펙터,영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유), 샘 멘데스,,NA,NA,NA,NA,NA,NA,NA, 다니엘 크레이그, 레아 세이두, 크리스토프 왈츠, 모니카 벨루치, 랄프 파인즈, 데이브 바티스타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.11.11,11,2015,14301476030,1820760,1105,51940,기타,6,1,15세 관람가,148,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.80%,857992.5,8.01,1267766.676,7.82090873
3,201,100일 동안 100가지로 100퍼센트 행복찾기,독일,독일,(주)영화사 진진, 플로리안 데이비드 핏츠,,,,,,,NA,NA, 플로리안 데이비드 핏츠, 마치아스 슈와바이어퍼,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.9.12,9,2019,259264770,32573,59,1482,기타,2,0,15세 관람가,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,16685.5,8.63,23790.33333,8.341666667
4,405,12 솔져스,미국,미국,(주)제이앤씨미디어그룹, 니콜라이 퓰시,,,,,,,,, 크리스 헴스워스, 마이클 섀넌, 마이클 페나, 트래반트 로즈,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.1.31,1,2018,1833626400,223740,211,9844,미국,4,0,15세 관람가,130,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.10%,0,0,2588981.267,8.14
5,1024,13시간,미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 마이클 베이,,,,NA,NA,NA,NA,NA, 존 크래신스키, 제임스 뱃지 데일, 맥스 마티니, 파블로 쉬레이버,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.3.3,3,2016,1170500514,145952,380,9615,미국,4,1,15세 관람가,144,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.10%,1176000,8.076,283855.5,7.517583333
6,165,1919 유관순,한국,한국,"주식회사 마운틴픽쳐스,(주)케이티알파", 신상민,,,,,,,NA,NA, 이새봄, 양윤희, 김나니, 박자희, 김규리, 김무늬, 류의도, 장세아, 황도원, 문보람, 나애진,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.3.14,3,2019,506367410,61938,269,3249,한국,11,0,12세 관람가,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,0,0,168571.3333,7.941607143
7,310,1987,한국,한국,(주)씨제이이엔엠, 장준환,,,,,,,,, 김윤석, 하정우, 유해진, 김태리, 박희순, 이희준,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.12.27,12,2017,58169776145,7232387,2421,138226,한국,6,1,15세 관람가,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.40%,3342278.762,8.299333333,3193662.681,8.449261905
8,635,1987,한국,한국,(주)씨제이이엔엠, 장준환,,,,NA,NA,NA,NA,NA, 김윤석, 하정우, 유해진, 김태리, 박희순, 이희준,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.12.27,12,2017,15254004037,1942077,1299,27619,한국,6,1,15세 관람가,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.90%,3342278.762,8.299333333,3193662.681,8.449261905
9,1316,19곰 테드 2,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 세스 맥팔레인,,NA,NA,NA,NA,NA,NA,NA, 마크 월버그, 아만다 사이프리드, 세스 맥팔레인, 리암 니슨, 모건 프리먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.6.25,6,2015,1378084400,170647,297,7147,미국,5,1,청소년 관람불가,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,0,0,734762.0139,7.526319444
10,406,1급기밀,한국,한국,(주)리틀빅픽쳐스, 홍기선,,,,,,,,, 김상경, 김옥빈, 최무성,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.1.24,1,2018,1720083300,217803,512,11352,한국,3,0,12세 관람가,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10%,247883.6667,7.498,729811.5512,7.669583333
11,641,23 아이덴티티,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), M. 나이트 샤말란,,,,NA,NA,NA,NA,NA, 제임스 맥어보이, 안야 테일러 조이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.2.22,2,2017,13609648135,1675819,952,44104,미국,2,1,15세 관람가,117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.80%,580250,6.8575,964428.5714,7.987142857
12,2014,26년,한국,한국,"(주)인벤트스톤,영화사청어람(주)", 조근현,,,,NA,NA,NA,NA,NA, 진구, 한혜진, 임슬옹,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012.11.29,11,2012,130489000,23177,29,635,한국,3,0,15세 관람가,135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00%,609608.5,7.803142857,1820051.556,7.332996032
13,1536,300: 제국의 부활,미국,미국,워너브러더스 코리아(주), 노암 머로,,,NA,NA,NA,NA,NA,NA, 에바 그린, 설리반 스탭플턴, 로드리고 산토로, 레나 헤디,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.3.6,3,2014,13395159700,1593116,720,54902,미국,4,1,청소년 관람불가,102,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.80%,818000,7.745,377089.0262,7.661488095
14,1118,33,미국,"미국,칠레",(주)나이너스엔터테인먼트,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.4.7,4,2016,318282400,41269,320,4299,미국,0,0,12세 관람가,133,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00%,39333.33333,8.85,269091.3,7.614888889
15,1158,45년 후,영국,영국,판씨네마(주), 앤드류 헤이,,,,NA,NA,NA,NA,NA, 샬롯 램플링, 톰 커트니, 돌리 웰스, 제라르딘 제임스,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.5.5,5,2016,184465318,23707,45,1174,기타,4,0,15세 관람가,95,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,0,0,208002.25,7.775833333
16,670,47 미터,영국,영국,(주)키다리이엔티, 요하네스 로버츠,,,,NA,NA,NA,NA,NA, 소피 넬리스, 시스틴 로즈 스탤론, 브리안느 쥬, 코린 폭스,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.7.19,7,2017,4686079657,590045,733,20457,기타,4,0,15세 관람가,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.30%,371333.3333,6.62,406584.0625,8.151875
17,72,47미터 2,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹", 요하네스 로버츠,,,,,,,NA,NA, 소피 넬리스, 시스틴 로즈 스탤론, 브리안느 쥬, 코린 폭스,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.8.28,8,2019,3846315153,501934,649,24027,미국,4,0,15세 관람가,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.20%,371333.3333,6.62,406584.0625,8.151875
18,2060,48미터,한국,한국,(주)씨제이이엔엠, 민백두,,,,NA,NA,NA,NA,NA, 박효주, 이진희, 하석, 조한철,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013.7.4,7,2013,102714000,13418,35,950,한국,4,1,15세 관람가,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,36000,6.06,967590.3393,8.137380952
19,1123,4등,한국,한국,"(주)프레인글로벌,CGV아트하우스", 정지우,,,,NA,NA,NA,NA,NA, 박해준, 이항나, 유재상, 최무성,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.4.13,4,2016,286355700,38611,213,4726,한국,4,0,15세 관람가,116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,444979.1429,7.827142857,1276930.529,7.884017857
20,1022,500일의 썸머,미국,미국,"(주)스튜디오디에이치엘,(주)팝엔터테인먼트,이십세기폭스코리아(주)", 마크 웹,,,,NA,NA,NA,NA,NA, 조셉 고든 레빗, 주이 디샤넬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.6.29,6,2016,1222841900,147891,156,5851,미국,2,1,15세 관람가,95,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10%,1873600,8.402,331862.25,8.454
21,719,50가지 그림자: 심연,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제임스 폴리,,,,NA,NA,NA,NA,NA, 다코타 존슨, 제이미 도넌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.2.9,2,2017,1589180900,189620,435,8960,미국,2,1,청소년 관람불가,118,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10%,130170,7.558,60325.3,8.043
22,407,50가지 그림자: 해방,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제임스 폴리,,,,,,,,, 다코타 존슨, 제이미 도넌,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.2.21,2,2018,1866384500,217785,213,10027,미국,2,1,청소년 관람불가,105,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10%,130170,7.558,60325.3,8.043
