,name,nation,rep_nation,distributor,director1,director2,director3,director4,director5,director6,director7,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,month,year,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,genre
1,극한직업,한국,한국,(주)씨제이이엔엠, 이병헌,,,,,,, 류승룡, 이하늬, 진선규, 이동휘, 공명,,,,,,,,,,,,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39652E+11,16265618,2003,292584,한국,5,1,15세 관람가,111, 코미디 
2,어벤져스: 엔드게임,미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 안소니 루소, 조 루소,,,,,, 로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼릿 조핸슨, 제레미 레너, 폴 러드, 돈 치들, 브리 라슨, 카렌 길런, 브래들리 쿠퍼, 조슈 브롤린,,,,,4,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22183E+11,13934592,2835,242001,미국,12,1,12세 관람가,181,   액션 sf 
3,겨울왕국 2,미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 크리스 벅, 제니퍼 리,,,,,, 크리스틴 벨, 이디나 멘젤,,,,,,,,,,,,,,,11,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11596E+11,13369064,2648,282557,미국,2,1,전체 관람가,103,   애니메이션  모험  코미디  가족  판타지  뮤지컬 
4,알라딘,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,5,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06955E+11,12552283,1409,266469,미국,0,1,전체 관람가,90, 애니메이션  뮤지컬  코미디  가족  모험  드라마   멜로/로맨스 
5,기생충,한국,한국,(주)씨제이이엔엠, 봉준호,,,,,,, 송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진,,,,,,,,,,5,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85883963645,10085275,1948,192855,한국,7,1,15세 관람가,131, 드라마 
6,엑시트,한국,한국,(주)씨제이이엔엠, 이상근,,,,,,, 조정석, 윤아,,,,,,,,,,,,,,,7,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79232012162,9426011,1660,202223,한국,2,1,NA,110, sf  범죄  스릴러 
7,스파이더맨: 파 프롬 홈,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 존 왓츠,,,,,,, 톰 홀랜드, 사무엘 L. 잭슨, 젠데이아 콜먼,,,,,,,,,,,,,,7,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69010000100,8021145,2142,180474,미국,3,1,12세 관람가,129,     액션  모험  코미디  sf 
8,백두산,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오",,,,,,,,,,,,,,,,,,,,,,,,12,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52905789770,6290502,1971,99915,한국,0,1,12세 관람가,128, 드라마  액션 
9,캡틴 마블,미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 애너 보든, 라이언 플렉,,,,,, 브리 라슨, 사무엘 L. 잭슨, 벤 멘델슨, 주드 로,,,,,,,,,,,,,3,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51507488723,5802810,2100,186382,미국,4,1,12세 관람가,123,   액션  모험  sf 
10,조커,미국,미국,워너브러더스 코리아(주), 토드 필립스,,,,,,, 호아킨 피닉스,,,,,,,,,,,,,,,,10,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45381075450,5247874,1418,147380,미국,1,1,15세 관람가,123, 스릴러  드라마 
11,봉오동 전투,한국,한국,(주)쇼박스, 원신연,,,,,,, 유해진, 류준열, 조우진,,,,,,,,,,,,,,8,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40588648538,4787538,1476,107030,한국,3,1,15세 관람가,135,   액션  드라마 
12,라이온 킹,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,7,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41519457430,4743264,1936,126496,미국,0,1,전체 관람가,89,   애니메이션  모험  드라마  가족 
13,나쁜 녀석들: 더 무비,한국,한국,(주)씨제이이엔엠, 손용호,,,,,,, 마동석, 김상중, 김아중, 장기용,,,,,,,,,,,,,9,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39560195124,4573902,1511,113938,한국,4,1,15세 관람가,114,      범죄  액션 
14,82년생 김지영,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 김도영,,,,,,, 정유미, 공유,,,,,,,,,,,,,,,10,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30298542310,3678156,1486,145441,한국,2,1,12세 관람가,118,   드라마 
15,분노의 질주: 홉스&쇼,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 데이빗 레이치,,,,,,, 드웨인 존슨, 제이슨 스타뎀, 이드리스 엘바, 바네사 커비,,,,,,,,,,,,,8,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32241767793,3657536,1311,94896,미국,4,1,12세 관람가,136,     액션 
16,토이 스토리 4,미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 조시 쿨리,,,,,,, 톰 행크스, 팀 알렌, 애니 파츠, 토니 헤일,,,,,,,,,,,,,6,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28758452040,3400034,1336,85875,미국,4,1,전체 관람가,100,    애니메이션  모험  코미디  가족  판타지 
17,돈,한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,,,,,,,,3,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28870244062,3389125,1431,120809,한국,0,1,15세 관람가,115, 범죄 
