idx,name,director1,director2,director3,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
0,극한직업, 이병헌,,, 류승룡, 이하늬, 진선규, 이동휘, 공명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,어벤져스: 엔드게임, 안소니 루소, 조 루소,, 로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼릿 조핸슨, 제레미 레너, 폴 러드, 돈 치들, 브리 라슨, 카렌 길런, 브래들리 쿠퍼, 조슈 브롤린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,겨울왕국 2, 크리스 벅, 제니퍼 리,, 크리스틴 벨, 이디나 멘젤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,기생충, 봉준호,,, 송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,엑시트, 이상근,,, 조정석, 윤아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,스파이더맨: 파 프롬 홈, 존 왓츠,,, 톰 홀랜드, 사무엘 L. 잭슨, 젠데이아 콜먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,캡틴 마블, 애너 보든, 라이언 플렉,, 브리 라슨, 사무엘 L. 잭슨, 벤 멘델슨, 주드 로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,조커, 토드 필립스,,, 호아킨 피닉스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,봉오동 전투, 원신연,,, 유해진, 류준열, 조우진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,나쁜 녀석들: 더 무비, 손용호,,, 마동석, 김상중, 김아중, 장기용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,82년생 김지영, 김도영,,, 정유미, 공유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,분노의 질주: 홉스&쇼, 데이빗 레이치,,, 드웨인 존슨, 제이슨 스타뎀, 이드리스 엘바, 바네사 커비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,토이 스토리 4, 조시 쿨리,,, 톰 행크스, 팀 알렌, 애니 파츠, 토니 헤일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,악인전, 이원태,,, 마동석, 김무열, 김성규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,가장 보통의 연애, 김한결,,, 김래원, 공효진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,말모이, 엄유나,,, 유해진, 윤계상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,시동, 최정열,,, 마동석, 박정민, 정해인, 염정아, 최성은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
