name,nation,rep_nation,distributor,date3,month,year,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,sales_share,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
0.0MHz,한국,한국,(주)스마일이엔티,2019.5.29,5.0,2019.0,1088258860.0,137294,446,5998,한국,5,0.0,15세 관람가,102.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.10%,419333.3333,7.146666667,1134619.646,7.202083333
007 스펙터,영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유),2015.11.11,11.0,2015.0,14301476030.0,1820760,1105,51940,기타,6,1.0,15세 관람가,148.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.80%,857992.5,8.01,1267766.676,7.82090873
100일 동안 100가지로 100퍼센트 행복찾기,독일,독일,(주)영화사 진진,2019.9.12,9.0,2019.0,259264770.0,32573,59,1482,기타,2,0.0,15세 관람가,111.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,16685.5,8.63,23790.33333,8.341666667
12 솔져스,미국,미국,(주)제이앤씨미디어그룹,2018.1.31,1.0,2018.0,1833626400.0,223740,211,9844,미국,4,0.0,15세 관람가,130.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.10%,0.0,0.0,2588981.267,8.14
13시간,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2016.3.3,3.0,2016.0,1170500514.0,145952,380,9615,미국,4,1.0,15세 관람가,144.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.10%,1176000.0,8.076,283855.5,7.517583333
1919 유관순,한국,한국,"주식회사 마운틴픽쳐스,(주)케이티알파",2019.3.14,3.0,2019.0,506367410.0,61938,269,3249,한국,11,0.0,12세 관람가,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,0.0,0.0,168571.3333,7.941607143
1987,한국,한국,(주)씨제이이엔엠,2017.12.27,12.0,2017.0,58169776145.0,7232387,2421,138226,한국,6,1.0,15세 관람가,129.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.40%,3342278.762,8.299333333,3193662.681,8.449261905
1987,한국,한국,(주)씨제이이엔엠,2017.12.27,12.0,2017.0,15254004037.0,1942077,1299,27619,한국,6,1.0,15세 관람가,129.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.90%,3342278.762,8.299333333,3193662.681,8.449261905
19곰 테드 2,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2015.6.25,6.0,2015.0,1378084400.0,170647,297,7147,미국,5,1.0,청소년 관람불가,115.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,0.0,0.0,734762.0139,7.526319444
1급기밀,한국,한국,(주)리틀빅픽쳐스,2018.1.24,1.0,2018.0,1720083300.0,217803,512,11352,한국,3,0.0,12세 관람가,101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10%,247883.6667,7.498,729811.5512,7.669583333
23 아이덴티티,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017.2.22,2.0,2017.0,13609648135.0,1675819,952,44104,미국,2,1.0,15세 관람가,117.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.80%,580250.0,6.8575,964428.5714,7.987142857
26년,한국,한국,"(주)인벤트스톤,영화사청어람(주)",2012.11.29,11.0,2012.0,130489000.0,23177,29,635,한국,3,0.0,15세 관람가,135.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00%,609608.5,7.803142857,1820051.556,7.332996032
