name,nation,rep_nation,distributor,date3,month,year,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,sales_share,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
0.0MHz,한국,한국,(주)스마일이엔티,2019.5.29,5,2019,1088258860,137294,446,5998,한국,5,0,15세 관람가,102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.10%,419333.3333,7.146666667,1134619.646,7.202083333
007 스펙터,영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유),2015.11.11,11,2015,14301476030,1820760,1105,51940,기타,6,1,15세 관람가,148,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.80%,857992.5,8.01,1267766.676,7.82090873
100일 동안 100가지로 100퍼센트 행복찾기,독일,독일,(주)영화사 진진,2019.9.12,9,2019,259264770,32573,59,1482,기타,2,0,15세 관람가,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,16685.5,8.63,23790.33333,8.341666667
12 솔져스,미국,미국,(주)제이앤씨미디어그룹,2018.1.31,1,2018,1833626400,223740,211,9844,미국,4,0,15세 관람가,130,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.10%,0,0,2588981.267,8.14
13시간,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2016.3.3,3,2016,1170500514,145952,380,9615,미국,4,1,15세 관람가,144,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.10%,1176000,8.076,283855.5,7.517583333
1919 유관순,한국,한국,"주식회사 마운틴픽쳐스,(주)케이티알파",2019.3.14,3,2019,506367410,61938,269,3249,한국,11,0,12세 관람가,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,0,0,168571.3333,7.941607143
1987,한국,한국,(주)씨제이이엔엠,2017.12.27,12,2017,58169776145,7232387,2421,138226,한국,6,1,15세 관람가,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.40%,3342278.762,8.299333333,3193662.681,8.449261905
19곰 테드 2,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2015.6.25,6,2015,1378084400,170647,297,7147,미국,5,1,청소년 관람불가,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,0,0,734762.0139,7.526319444
1급기밀,한국,한국,(주)리틀빅픽쳐스,2018.1.24,1,2018,1720083300,217803,512,11352,한국,3,0,12세 관람가,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10%,247883.6667,7.498,729811.5512,7.669583333
23 아이덴티티,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017.2.22,2,2017,13609648135,1675819,952,44104,미국,2,1,15세 관람가,117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.80%,580250,6.8575,964428.5714,7.987142857
26년,한국,한국,"(주)인벤트스톤,영화사청어람(주)",2012.11.29,11,2012,130489000,23177,29,635,한국,3,0,15세 관람가,135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00%,609608.5,7.803142857,1820051.556,7.332996032
300: 제국의 부활,미국,미국,워너브러더스 코리아(주),2014.3.6,3,2014,13395159700,1593116,720,54902,미국,4,1,청소년 관람불가,102,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.80%,818000,7.745,377089.0262,7.661488095
33,미국,"미국,칠레",(주)나이너스엔터테인먼트,2016.4.7,4,2016,318282400,41269,320,4299,미국,0,0,12세 관람가,133,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00%,39333.33333,8.85,269091.3,7.614888889
45년 후,영국,영국,판씨네마(주),2016.5.5,5,2016,184465318,23707,45,1174,기타,4,0,15세 관람가,95,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,0,0,208002.25,7.775833333
47 미터,영국,영국,(주)키다리이엔티,2017.7.19,7,2017,4686079657,590045,733,20457,기타,4,0,15세 관람가,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.30%,371333.3333,6.62,406584.0625,8.151875
47미터 2,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2019.8.28,8,2019,3846315153,501934,649,24027,미국,4,0,15세 관람가,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.20%,371333.3333,6.62,406584.0625,8.151875
48미터,한국,한국,(주)씨제이이엔엠,2013.7.4,7,2013,102714000,13418,35,950,한국,4,1,15세 관람가,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,36000,6.06,967590.3393,8.137380952
4등,한국,한국,"(주)프레인글로벌,CGV아트하우스",2016.4.13,4,2016,286355700,38611,213,4726,한국,4,0,15세 관람가,116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,444979.1429,7.827142857,1276930.529,7.884017857
500일의 썸머,미국,미국,"(주)스튜디오디에이치엘,(주)팝엔터테인먼트,이십세기폭스코리아(주)",2016.6.29,6,2016,1222841900,147891,156,5851,미국,2,1,15세 관람가,95,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10%,1873600,8.402,331862.25,8.454
50가지 그림자: 심연,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2017.2.9,2,2017,1589180900,189620,435,8960,미국,2,1,청소년 관람불가,118,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10%,130170,7.558,60325.3,8.043
50가지 그림자: 해방,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2018.2.21,2,2018,1866384500,217785,213,10027,미국,2,1,청소년 관람불가,105,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10%,130170,7.558,60325.3,8.043
5일의 마중,중국,중국,찬란,2014.10.8,10,2014,406479100,54325,86,2779,기타,3,0,전체 관람가,109,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,93517.33333,7.814,97000,8.4725
60만번의 트라이,한국,"한국,일본",㈜인디스토리,2014.9.18,9,2014,147541300,21239,76,1605,한국,0,0,12세 관람가,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,22000,9.18,730289.0095,8.379642857
7년의 밤,한국,한국,(주)씨제이이엔엠,2018.3.28,3,2018,3969337524,528007,872,26804,한국,4,1,15세 관람가,123,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20%,3514000,8.201428571,2079328.418,7.352491071
7번째 내가 죽던 날,미국,미국,(주)키다리이엔티,2017.5.31,5,2017,261910400,34567,230,2587,미국,1,0,15세 관람가,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.00%,35000,7.21,49250,8.06
7번째 아들,미국,"미국,영국,캐나다",유니버설픽쳐스인터내셔널 코리아(유),2015.2.11,2,2015,729980451,92598,358,7396,미국,3,1,12세 관람가,102,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,46584,7.015,432469.5238,7.972142857
7호실,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2017.11.15,11,2017,2677284639,347790,629,21846,한국,2,1,15세 관람가,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,502506.8333,7.225,3799375,8.276607143
82년생 김지영,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019.10.23,10,2019,30298542310,3678156,1486,145441,한국,2,1,12세 관람가,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.60%,1012,7.05,4153750,8.4925
8월의 크리스마스,한국,한국,"한국영상투자개발(주),(주)싸이더스",2013.11.7,11,2013,164902000,23518,71,2280,한국,2,0,15세 관람가,97,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,1718000,7.228333333,2037500,7.508125
B급 며느리,한국,한국,"(주)에스와이코마드,글뫼 주식회사",2018.1.17,1,2018,154328100,19843,60,1911,한국,2,0,12세 관람가,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,5096.5,9.04,2013092.5,7.249821429
GROW: 인피니트의 리얼 청춘 라이프,한국,한국,골든타이드픽처스(주),2014.12.4,12,2014,189409200,23865,71,824,한국,1,0,전체 관람가,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00%,0,0,161661.75,7.4725
PMC: 더 벙커,한국,한국,(주)씨제이이엔엠,2018.12.26,12,2018,14024838424,1671548,1974,49806,한국,2,1,15세 관람가,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.20%,3716394.5,7.412333333,3629666.667,7.794833333
PMC: 더 벙커,한국,한국,(주)씨제이이엔엠,2018.12.26,12,2018,9704247367,1179031,1081,26690,한국,2,1,15세 관람가,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.50%,3716394.5,7.412333333,3629666.667,7.794833333
R.I.P.D. : 알.아이.피.디.,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2013.8.22,8,2013,725451071,101460,268,5744,미국,3,1,15세 관람가,95,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00%,242001,7.401428571,382285.0714,8.426984127
가구야공주 이야기,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,2014.6.4,6,2014,125582300,16439,77,994,기타,2,1,전체 관람가,137,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,9260.5,8.094285714,72405,8.263333333
가디언즈,미국,미국,(주)씨제이이엔엠,2012.11.29,11,2012,130597500,19598,53,613,미국,4,1,12세 관람가,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,2563,4.82375
가디언즈 오브 갤럭시,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2017.4.20,4,2017,292578500,33129,77,1747,미국,5,1,12세 관람가,136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.00%,5587750,8.785166667,3751935.946,8.463089286
가디언즈 오브 갤럭시,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014.7.31,7,2014,11098239184,1311190,539,22417,미국,5,1,12세 관람가,136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.70%,5587750,8.785166667,3751935.946,8.463089286
가디언즈 오브 갤럭시 VOL. 2,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2017.5.3,5,2017,23452686686,2735721,1218,63789,미국,5,1,12세 관람가,136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.30%,5587750,8.785166667,3751935.946,8.463089286
가려진 시간,한국,한국,(주)쇼박스,2016.11.16,11,2016,3946462400,510878,884,30404,한국,3,1,12세 관람가,129,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20%,96967,7.906666667,2071140.403,7.706388889
가문의 영광5 - 가문의 귀환,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2012.12.19,12,2012,1085286000,147798,224,6856,한국,13,1,15세 관람가,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,0,0,1556943.125,7.455658163
가버나움,기타,기타,"그린나래미디어(주),플레이리스트(주)",2019.1.24,1,2019,1196849219,145017,111,5360,기타,2,0,15세 관람가,126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10%,37118.5,8.653333333,140000,9.54
가시,한국,한국,(주)인벤트스톤,2014.4.10,4,2014,1095301000,142170,356,11622,한국,0,0,청소년 관람불가,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.10%,0,0,668524.3016,7.531587302
"가자, 장미여관으로",한국,한국,(주)팝파트너스,2013.8.14,8,2013,29545500,8307,21,113,한국,2,0,청소년 관람불가,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00%,2105.666667,5.458,3905000,7.69
"가장 따뜻한 색, 블루",프랑스,프랑스,판씨네마(주),2014.1.16,1,2014,383246700,49849,53,1626,기타,2,0,청소년 관람불가,180,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,18580,8.96,466142.8571,7.988571429
가장 보통의 연애,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019.10.2,10,2019,24885803430,2924563,1073,111527,한국,2,1,15세 관람가,109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.30%,0,0,1515149,8.087857143
간신,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2015.5.21,5,2015,8946842910,1110246,697,40580,한국,5,1,청소년 관람불가,131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.50%,597339.25,7.91125,3161695.411,7.538047619
감기,한국,한국,아이러브시네마,2013.8.14,8,2013,21774884000,3117859,806,55046,한국,0,0,15세 관람가,121,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.40%,0,0,1820176.958,7.341770833
감바의 대모험,일본,일본,(주)영화사 빅,2016.11.10,11,2016,874685700,117488,400,4735,기타,8,0,전체 관람가,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,0,0,69687.70833,8.412333333
감시자들,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2013.7.3,7,2013,39380162179,5508017,949,100309,한국,3,1,15세 관람가,119,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.50%,4527500,7.696875,891336.0317,7.647579365
