rank,name,date,sales ,sales_share,boxoffice_num,num_of_screen,num_of_screenings,nation,rep_nation,distributor
1,극한직업,2019.1.23,"139,651,845,516",7.3%,"16,265,618","2,003","292,584",한국,한국,(주)씨제이이엔엠
2,어벤져스: 엔드게임,2019.4.24,"122,182,694,160",6.4%,"13,934,592","2,835","242,001",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,겨울왕국 2,2019.11.21,"111,596,248,720",5.8%,"13,369,064","2,648","282,557",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,알라딘,2019.5.23,"106,955,138,359",5.6%,"12,552,283","1,409","266,469",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,기생충,2019.5.30,"85,883,963,645",4.5%,"10,085,275","1,948","192,855",한국,한국,(주)씨제이이엔엠
6,엑시트,2019.7.31,"79,232,012,162",4.1%,"9,426,011","1,660","202,223",한국,한국,(주)씨제이이엔엠
7,스파이더맨: 파 프롬 홈,2019.7.2,"69,010,000,100",3.6%,"8,021,145","2,142","180,474",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
8,백두산,2019.12.19,"52,905,789,770",2.8%,"6,290,502","1,971","99,915",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
9,캡틴 마블,2019.3.6,"51,507,488,723",2.7%,"5,802,810","2,100","186,382",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,조커,2019.10.2,"45,381,075,450",2.4%,"5,247,874","1,418","147,380",미국,미국,워너브러더스 코리아(주)
11,봉오동 전투,2019.8.7,"40,588,648,538",2.1%,"4,787,538","1,476","107,030",한국,한국,(주)쇼박스
12,라이온 킹,2019.7.17,"41,519,457,430",2.2%,"4,743,264","1,936","126,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,나쁜 녀석들: 더 무비,2019.9.11,"39,560,195,124",2.1%,"4,573,902","1,511","113,938",한국,한국,(주)씨제이이엔엠
14,82년생 김지영,2019.10.23,"30,298,542,310",1.6%,"3,678,156","1,486","145,441",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
15,분노의 질주: 홉스&쇼,2019.8.14,"32,241,767,793",1.7%,"3,657,536","1,311","94,896",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
16,토이 스토리 4,2019.6.20,"28,758,452,040",1.5%,"3,400,034","1,336","85,875",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
17,돈,2019.3.20,"28,870,244,062",1.5%,"3,389,125","1,431","120,809",한국,한국,(주)쇼박스
18,악인전,2019.5.15,"29,133,760,150",1.5%,"3,364,712","1,307","97,351",한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
19,가장 보통의 연애,2019.10.2,"24,885,803,430",1.3%,"2,924,563","1,073","111,527",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
20,말모이,2019.1.9,"23,685,091,520",1.2%,"2,812,877","1,203","87,591",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
21,증인,2019.2.13,"20,482,789,331",1.1%,"2,534,748","1,047","89,564",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
22,시동,2019.12.18,"21,236,477,800",1.1%,"2,525,986","1,515","58,603",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
23,블랙머니,2019.11.13,"20,863,134,010",1.1%,"2,478,964","1,141","77,469",한국,한국,(주)에이스메이커무비웍스
24,터미네이터: 다크 페이트,2019.10.30,"20,153,895,830",1.1%,"2,409,062","1,315","81,336",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
25,사바하,2019.2.20,"20,007,508,194",1.0%,"2,398,519","1,174","78,096",한국,한국,(주)씨제이이엔엠
26,타짜: 원 아이드 잭,2019.9.11,"19,687,029,214",1.0%,"2,229,239","1,429","66,479",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
