name,date,sales ,sales_share,boxoffice_num,num_of_screen,num_of_screenings,rep_nation,nation,distributor,director1,director2,director3,director4,director5,director6,director7,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
극한직업,2019.1.23,"139,651,845,516",7.3%,"16,265,618","2,003","292,584",한국,한국,(주)씨제이이엔엠, 이병헌,,,,,,, 류승룡, 이하늬, 진선규, 이동휘, 공명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어벤져스: 엔드게임,2019.4.24,"122,182,694,160",6.4%,"13,934,592","2,835","242,001",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 안소니 루소, 조 루소,,,,,, 로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼릿 조핸슨, 제레미 레너, 폴 러드, 돈 치들, 브리 라슨, 카렌 길런, 브래들리 쿠퍼, 조슈 브롤린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겨울왕국 2,2019.11.21,"111,596,248,720",5.8%,"13,369,064","2,648","282,557",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 크리스 벅, 제니퍼 리,,,,,, 크리스틴 벨, 이디나 멘젤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알라딘,2019.5.23,"106,955,138,359",5.6%,"12,552,283","1,409","266,469",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기생충,2019.5.30,"85,883,963,645",4.5%,"10,085,275","1,948","192,855",한국,한국,(주)씨제이이엔엠, 봉준호,,,,,,, 송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엑시트,2019.7.31,"79,232,012,162",4.1%,"9,426,011","1,660","202,223",한국,한국,(주)씨제이이엔엠, 이상근,,,,,,, 조정석, 윤아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스파이더맨: 파 프롬 홈,2019.7.2,"69,010,000,100",3.6%,"8,021,145","2,142","180,474",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 존 왓츠,,,,,,, 톰 홀랜드, 사무엘 L. 잭슨, 젠데이아 콜먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백두산,2019.12.19,"52,905,789,770",2.8%,"6,290,502","1,971","99,915",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캡틴 마블,2019.3.6,"51,507,488,723",2.7%,"5,802,810","2,100","186,382",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 애너 보든, 라이언 플렉,,,,,, 브리 라슨, 사무엘 L. 잭슨, 벤 멘델슨, 주드 로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조커,2019.10.2,"45,381,075,450",2.4%,"5,247,874","1,418","147,380",미국,미국,워너브러더스 코리아(주), 토드 필립스,,,,,,, 호아킨 피닉스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉오동 전투,2019.8.7,"40,588,648,538",2.1%,"4,787,538","1,476","107,030",한국,한국,(주)쇼박스, 원신연,,,,,,, 유해진, 류준열, 조우진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라이온 킹,2019.7.17,"41,519,457,430",2.2%,"4,743,264","1,936","126,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나쁜 녀석들: 더 무비,2019.9.11,"39,560,195,124",2.1%,"4,573,902","1,511","113,938",한국,한국,(주)씨제이이엔엠, 손용호,,,,,,, 마동석, 김상중, 김아중, 장기용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82년생 김지영,2019.10.23,"30,298,542,310",1.6%,"3,678,156","1,486","145,441",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 김도영,,,,,,, 정유미, 공유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분노의 질주: 홉스&쇼,2019.8.14,"32,241,767,793",1.7%,"3,657,536","1,311","94,896",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 데이빗 레이치,,,,,,, 드웨인 존슨, 제이슨 스타뎀, 이드리스 엘바, 바네사 커비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
토이 스토리 4,2019.6.20,"28,758,452,040",1.5%,"3,400,034","1,336","85,875",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 조시 쿨리,,,,,,, 톰 행크스, 팀 알렌, 애니 파츠, 토니 헤일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돈,2019.3.20,"28,870,244,062",1.5%,"3,389,125","1,431","120,809",한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
악인전,2019.5.15,"29,133,760,150",1.5%,"3,364,712","1,307","97,351",한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹", 이원태,,,,,,, 마동석, 김무열, 김성규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가장 보통의 연애,2019.10.2,"24,885,803,430",1.3%,"2,924,563","1,073","111,527",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김한결,,,,,,, 김래원, 공효진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
