,name,actor1.0_a_avg,actor1.0_r_avg
0,극한직업,3076694.330555555,8.114222222222223
1,어벤져스: 엔드게임,5465017.255952381,8.625306277056277
2,겨울왕국 2,6557500.0,9.025
3,기생충,2908266.093253968,7.966833333333334
4,엑시트,3829125.0,8.305
5,스파이더맨: 파 프롬 홈,1174444.6666666667,8.083
6,캡틴 마블,2317164.9791666665,7.6825
7,조커,1328000.0,8.629999999999999
8,봉오동 전투,3595793.6507936507,8.472142857142856
9,나쁜 녀석들: 더 무비,3086180.1190476194,8.001523809523809
10,82년생 김지영,4153750.0,8.4925
11,분노의 질주: 홉스&쇼,2083088.2395833333,8.197479166666668
12,토이 스토리 4,1378454.3055555557,8.675476190476191
13,악인전,3456666.6666666665,8.212
14,가장 보통의 연애,1515149.0,8.087857142857143
15,말모이,3328303.5714285714,8.351517857142857
16,시동,2008688.4,7.8184
17,블랙머니,12334.0,5.975
18,터미네이터: 다크 페이트,1779137.5,8.038999999999998
19,사바하,2630155.2952380953,7.944964285714285
20,타짜: 원 아이드 잭,2291591.476190476,7.6964484126984125
21,신의 한 수: 귀수편,1480380.9523809524,8.152000000000001
22,알리타: 배틀 엔젤,1184310.5566666666,8.018899999999999
23,내안의 그놈,2554933.3333333335,8.534333333333334
24,뺑반,2947956.476190476,8.284999999999998
25,변신,15302.041666666664,6.682499999999999
26,주먹왕 랄프 2: 인터넷 속으로,954921.8611111111,8.706666666666667
27,걸캅스,1088000.0,8.411666666666667
28,아쿠아맨,1508347.657142857,8.078466666666666
29,드래곤 길들이기 3,1066110.9777777777,8.362416666666666
30,나의 특별한 형제,1912277.777777778,8.152460317460317
31,어스,0.0,0.0
32,말레피센트 2,1109774.4222222222,7.870333333333332
33,유열의 음악앨범,1017690.3333333333,7.495833333333334
34,퍼펙트맨,23050.0,6.635
35,포드 V 페라리,650778.75,8.325
36,"힘을 내요, 미스터 리",1196757.8499999999,7.848785714285714
37,항거:유관순 이야기,873049.2041666666,8.5170625
38,장사리 : 잊혀진 영웅들,1285873.5,8.101527777777777
39,마이펫의 이중생활 2,874638.861111111,8.403055555555556
40,롱 리브 더 킹: 목포 영웅,1579738.0952380954,8.095297619047619
41,쥬만지: 넥스트 레벨,2253638.888888889,8.464
42,존 윅 3: 파라벨룸,1113087.75,7.101999999999999
43,천문: 하늘에 묻는다,2048750.0,8.076458333333333
44,나랏말싸미,3258744.4285714286,7.800761904761905
