,name,director1.0_a_avg,director1.0_r_avg
0,극한직업,0.0,0.0
1,어벤져스: 엔드게임,7131333.333333333,7.682166666666667
2,겨울왕국 2,8351666.666666666,8.867083333333333
3,기생충,3504139.8571428573,8.151428571428571
4,엑시트,4712081.0,8.68
5,스파이더맨: 파 프롬 홈,5090527.0,8.91
6,캡틴 마블,5800000.0,8.165
7,조커,1471500.0,8.04
8,봉오동 전투,2363333.333333333,7.881666666666667
9,나쁜 녀석들: 더 무비,1946666.6666666667,7.183333333333334
10,82년생 김지영,1012.0,7.05
11,분노의 질주: 홉스&쇼,1283598.7142857143,7.825
12,토이 스토리 4,3130000.0,9.203333333333331
13,악인전,1368333.3333333333,7.895
14,가장 보통의 연애,0.0,0.0
15,말모이,0.0,0.0
16,시동,1250202.8333333333,7.993333333333335
17,블랙머니,598.5,4.62
18,터미네이터: 다크 페이트,1864000.0,8.208333333333334
19,사바하,4276000.0,8.106
20,타짜: 원 아이드 잭,1167500.0,7.609999999999999
21,신의 한 수: 귀수편,1075099.5,8.69
22,알리타: 배틀 엔젤,419158.2,7.738000000000001
23,내안의 그놈,591484.7142857143,7.6
24,뺑반,0.0,0.0
25,변신,0.0,0.0
26,주먹왕 랄프 2: 인터넷 속으로,2453333.333333333,9.213333333333331
27,걸캅스,820680.7142857143,8.277142857142858
28,아쿠아맨,960142.8571428572,7.881428571428572
29,드래곤 길들이기 3,2360000.0,9.0875
30,나의 특별한 형제,702000.0,6.937142857142858
31,어스,1768.5,7.925
32,말레피센트 2,1482742.1666666667,7.925833333333333
33,유열의 음악앨범,444979.1428571429,7.827142857142858
34,퍼펙트맨,64000.0,6.45
35,포드 V 페라리,1431000.0,8.456666666666665
36,"힘을 내요, 미스터 리",1778465.8333333333,8.433333333333332
37,항거:유관순 이야기,473540.5,7.377499999999999
38,장사리 : 잊혀진 영웅들,1598963.9166666665,7.68452380952381
39,마이펫의 이중생활 2,0.0,0.0
40,롱 리브 더 킹: 목포 영웅,3985000.0,7.327500000000001
41,쥬만지: 넥스트 레벨,1380000.0,7.566666666666667
42,존 윅 3: 파라벨룸,0.0,0.0
43,천문: 하늘에 묻는다,1718000.0,7.228333333333334
44,나랏말싸미,0.0,0.0
45,엑스맨: 다크 피닉스,0.0,0.0
46,맨 인 블랙: 인터내셔널,896266.8333333334,8.075714285714286
47,뽀로로 극장판 보물섬 대모험,530000.0,6.904999999999999
48,캣츠,12000.0,9.16
49,보헤미안 랩소디,4132000.0,8.075714285714286
50,명탐정 피카츄,858000.0,7.51
51,신비아파트 극장판 하늘도깨비 대 요르문간드,1475000.0,8.620000000000001
52,나이브스 아웃,481622.4,6.0325
53,샤잠!,1230000.0,7.66
54,날씨의 아이,778151.0,8.440000000000001
55,나를 찾아줘,629083.8333333333,8.395
56,광대들: 풍문조작단,0.0,0.0
57,그것: 두 번째 이야기,520333.3333333333,7.739999999999999
58,극장판 헬로카봇 : 달나라를 구해줘!,612500.0,8.790000000000001
59,극장판 헬로카봇: 옴파로스 섬의 비밀,612500.0,8.790000000000001
60,이스케이프 룸,0.0,0.0
61,양자물리학,498200.0,7.016
62,애드 아스트라,93564.71428571428,7.965714285714286
63,47미터 2,371333.3333333333,6.619999999999999
64,PMC: 더 벙커,3716394.5,7.4123333333333346
65,애나벨 집으로,0.0,0.0
66,감쪽같은 그녀,685000.0,7.692499999999999
67,글래스,370000.0,8.3325
68,그린 북,315000.0,7.886666666666667
69,해피 데스데이 2 유,379708.2,7.595999999999999
70,극장판 공룡메카드: 타이니소어의 섬,511250.0,8.98
71,제미니 맨,0.0,0.0
72,고질라: 킹 오브 몬스터,1660000.0,7.8725
73,덤보,0.0,7.88111111111111
74,브링 더 소울 : 더 무비,965.25,8.74
75,아담스 패밀리,998514.2857142858,7.981
76,헬보이,0.0,0.0
77,천로역정: 천국을 찾아서,0.0,0.0
78,미성년,3621428.5714285714,8.674285714285714
79,배심원들,1510000.0,8.7
80,기방도령,0.0,0.0
81,신데렐라:마법 반지의 비밀,280000.0,7.795
82,원스 어폰 어 타임... 인 할리우드,220000.0,8.466666666666667
83,기묘한 가족,0.0,0.0
84,악질경찰,192.0,0.0
85,메리 포핀스 리턴즈,1004000.0,7.535
86,명탐정 코난: 감청의 권,220000.0,8.11
87,스윙키즈,0.0,0.0
88,커런트 워,210000.0,8.11
89,어린 의뢰인,838000.0,7.901250000000001
90,"안녕, 티라노: 영원히, 함께",410000.0,8.765
91,요로나의 저주,495000.0,7.935
92,롱 샷,493333.3333333333,8.583333333333334
93,우상,0.0,0.0
94,엔젤 해즈 폴른,136036.75,8.102
95,두번할까요,338282.8,6.3637500000000005
96,점박이 한반도의 공룡2 : 새로운 낙원,0.0,0.0
97,자전차왕 엄복동,199333.3333333333,6.6
98,진범,445734.5,7.317142857142857
99,더 페이버릿: 여왕의 여자,70933.5,8.175
100,이웃집 토토로,32582.0,8.001666666666667
101,가버나움,37118.5,8.653333333333334
102,눈의 여왕4,393333.3333333333,8.13
103,크롤,0.0,0.0
104,극장판 엉덩이 탐정: 화려한 사건 수첩,0.0,0.0
105,해리포터와 비밀의 방,856000.0,8.163333333333334
106,0.0MHz,419333.3333333333,7.146666666666667
107,좀비랜드: 더블 탭,1028777.0,8.5375
108,미드웨이,0.0,5.055
109,프린스 코기,570714.2857142857,8.748571428571429
110,윤희에게,0.0,0.0
111,명탐정 코난:전율의 악보,191857.14285714287,8.218571428571426
112,교회오빠,22000.0,8.66
113,암전,164.66666666666666,6.0
114,미래의 미라이,159000.0,8.353333333333333
115,람보 : 라스트 워,131359.26666666666,7.835
116,공포의 묘지,0.0,0.0
117,원더랜드,17000.0,5.89
118,크게 될 놈,1590000.0,7.841428571428572
119,콜드 체이싱,100000.0,7.32
120,라스트 미션,1266000.0,7.647999999999999
121,파이브 피트,0.0,0.0
122,소피와 드래곤: 마법책의 비밀,97000.0,5.75
123,러브 앳,50889.5,8.61
124,아내를 죽였다,0.0,0.0
125,구스 베이비,0.0,0.0
126,더 보이,9288.0,7.6
127,레고 무비2,1609714.2857142857,8.564285714285713
128,미드소마,138000.0,7.78
129,그대 이름은 장미,0.0,0.0
130,스파이더맨: 뉴 유니버스,810000.0,9.3225
131,"어쩌다, 결혼",918527.0,8.08
132,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,167500.0,8.3625
133,호텔 뭄바이,0.0,0.0
134,카운트다운,73000.0,6.78
135,극장판 반지의 비밀일기,0.0,0.0
136,그린치,1068000.0,8.708000000000002
137,몬스터 하우스,240250.0,7.925000000000001
138,닥터 슬립,168500.0,7.6425
139,1919 유관순,0.0,0.0
140,안녕 베일리,61000.0,9.2
141,사탄의 인형,0.0,5.08
142,애프터,0.0,0.0
143,왓칭,55000.0,8.12
144,사일런스,53702.0,7.3
145,빅샤크2: 해저2만리,0.0,0.0
146,마약왕,3013333.333333333,8.110000000000001
147,세상을 바꾼 변호인,50000.0,8.222000000000001
148,슈퍼미니 2,70500.0,7.865
149,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,59666.66666666666,9.336666666666666
150,업사이드,221000.0,8.162857142857144
151,빅트립: 아기팬더 배달 대모험,24804.0,7.62
152,마담 싸이코,69333.33333333333,8.1
153,쿠르스크,17095.6,7.630000000000001
154,파비안느에 관한 진실,60928.333333333336,8.276666666666666
155,칠곡 가시나들,39624.833333333336,8.69
156,일일시호일,42000.0,8.91
157,더 와이프,42000.0,8.6
158,주전장,40000.0,9.67
159,메기,0.0,0.0
160,프란치스코 교황 : 맨 오브 히스 워드,13821.5,7.812500000000001
161,인생 후르츠,71000.0,9.17
162,드래곤볼 슈퍼: 브로리,64500.0,9.25
163,아이리시맨,53702.0,7.3
164,서스페리아,11142.333333333334,6.026666666666667
165,100일 동안 100가지로 100퍼센트 행복찾기,16685.5,8.63
166,너를 만난 여름,0.0,0.0
167,썬키스 패밀리,0.0,0.0
168,누구나 아는 비밀,0.0,0.0
169,더 길티,367666.6666666667,8.196666666666667
170,신밧드와 마법 양탄자,54666.66666666666,8.090000000000002
171,왕이 될 아이,941000.0,8.2225
172,대통령의 7시간,0.0,0.0
173,마리아 칼라스: 세기의 디바,28000.0,8.76
174,리틀 포니 프린세스,14100.0,3.75
175,내 완벽한 남사친의 비밀,28000.0,8.16
176,러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,0.0,0.0
177,판소리 복서,5490.0,7.672
178,굿 라이어,1832086.3333333333,8.515
179,크리스마스 호러 스토리,0.0,0.0
180,블라인드 멜로디,26000.0,8.54
181,전원사형,0.0,0.0
182,"미안해요, 리키",41250.0,8.6775
183,정글북: 마법 원정대,25000.0,7.97
184,칠드런 액트,38918.925,7.407500000000001
185,극장판 포켓몬스터 모두의 이야기,0.0,0.0
186,모험왕 블링키,277500.0,7.902499999999999
187,추격자: 살인자의 증거,24000.0,0.0
188,명탐정 코난 : 제로의 집행인,0.0,0.0
189,얼굴없는 보스,241840.3333333333,6.101666666666668
190,노무현과 바보들,0.0,0.0
191,여대생 기숙사에서 생긴 일,51000.0,6.32
192,이타미 준의 바다,0.0,0.0
193,트레킹: 저주의 숲,0.0,0.0
194,철벽선생,82390.57142857143,8.25
195,숲속의 마녀들,22000.0,6.06
196,숲속왕국의 꿀벌 여왕,0.0,0.0
197,드래곤 길들이기,2360000.0,9.0875
198,판의 미로 - 오필리아와 세 개의 열쇠,1398750.0,7.762499999999999
199,잃어버린 세계를 찾아서,0.0,0.0
200,미드 90,352800.0,8.596
201,결혼 이야기,0.0,0.0
202,미스 스티븐스,20000.0,7.19
203,나의 히어로 아카데미아 더 무비: 두 명의 히어로,0.0,0.0
204,더 킹: 헨리 5세,10139.5,7.386666666666667
205,지구공룡대탐험,0.0,0.0
206,뱅드림! 필름 라이브,0.0,0.0
207,사이몬과 타카시,18000.0,10.0
208,어제 일은 모두 괜찮아,68500.0,7.4425
209,마담 프루스트의 비밀정원,31272.625,8.219999999999999
210,유랑지구,18000.0,7.17
211,프렌즈: 둥지탈출,283265.6666666667,6.756666666666667
212,크리미널 체이스,0.0,0.0
213,"고흐, 영원의 문에서",33000.0,8.51
214,두 교황,9573.25,8.986666666666666
215,킹 오브 프리즘 -샤이니 세븐 스타즈-,42345.5,8.6475
216,마왕의 딸 이리샤,32775.75,8.19
217,행복한 라짜로,17000.0,8.75
