,name,Unnamed: 0,genre
0,극한직업,0.0,"[['코미디', '한국', '2018']]"
1,어벤져스: 엔드게임,1.0,"[['액션', 'SF', '미국', '2019']]"
2,겨울왕국 2,2.0,"[['애니메이션', '모험', '코미디', '가족', '판타지', '뮤지컬', '미국', '2019']]"
3,알라딘,3.0,"[['모험', '가족', '판타지', '뮤지컬', '멜로/로맨스', '미국', '2019']]"
4,기생충,4.0,"[['드라마', '한국', '2019']]"
5,엑시트,5.0,"[['러시아 연방', '2020']]"
6,스파이더맨: 파 프롬 홈,6.0,"[['액션', '모험', '코미디', 'SF', '미국', '2019']]"
7,백두산,7.0,"[['드라마', '액션', '한국', '2019']]"
8,캡틴 마블,8.0,"[['액션', '모험', 'SF', '미국', '2019']]"
9,조커,9.0,"[['스릴러', '드라마', '미국', '2019']]"
10,봉오동 전투,10.0,"[['액션', '드라마', '한국', '2019']]"
11,라이온 킹,11.0,"[['모험', '드라마', '가족', '미국', '2019']]"
12,나쁜 녀석들: 더 무비,12.0,"[['범죄', '액션', '한국', '2019']]"
13,82년생 김지영,13.0,"[['드라마', '한국', '2019']]"
14,분노의 질주: 홉스&쇼,14.0,"[['액션', '미국', '2019']]"
15,토이 스토리 4,15.0,"[['애니메이션', '모험', '코미디', '가족', '판타지', '미국', '2019']]"
16,돈,16.0,"[['범죄', '한국', '2018']]"
17,악인전,17.0,"[['범죄', '액션', '한국', '2019']]"
18,가장 보통의 연애,18.0,"[['멜로/로맨스', '한국', '2019']]"
19,말모이,19.0,"[['드라마', '한국', '2018']]"
20,증인,20.0,"[['드라마', '한국', '2018']]"
21,시동,21.0,"[['드라마', '한국', '2019']]"
22,블랙머니,22.0,"[['범죄', '스릴러', '미국', '2020']]"
23,터미네이터: 다크 페이트,23.0,"[['SF', '액션', '미국', '2019']]"
24,사바하,24.0,"[['미스터리', '스릴러', '한국', '2019']]"
25,타짜: 원 아이드 잭,25.0,"[['범죄', '드라마', '한국', '2019']]"
26,신의 한 수: 귀수편,26.0,"[['범죄', '액션', '한국', '2019']]"
27,알리타: 배틀 엔젤,27.0,"[['액션', '모험', '멜로/로맨스', 'SF', '스릴러', '미국', '캐나다', '아르헨티나', '2018']]"
28,내안의 그놈,28.0,"[['판타지', '코미디', '한국', '2018']]"
29,뺑반,29.0,"[['범죄', '액션', '한국', '2018']]"
30,변신,30.0,"[['공포', '영국', '2020']]"
31,주먹왕 랄프 2: 인터넷 속으로,31.0,"[['애니메이션', '모험', '코미디', '가족', 'SF', '미국', '2018']]"
32,걸캅스,32.0,"[['코미디', '액션', '한국', '2018']]"
33,사자,33.0,"[['미스터리', '액션', '판타지', '공포', '한국', '2019']]"
34,아쿠아맨,34.0,"[['액션', '모험', 'SF', '미국', '오스트레일리아', '2018']]"
