,name,grade
0,극한직업,15세 관람가
1,어벤져스: 엔드게임,12세 관람가
2,겨울왕국 2,전체 관람가
3,알라딘,전체 관람가
4,기생충,15세 관람가
5,엑시트,"SF, 범죄, 스릴러"
6,스파이더맨: 파 프롬 홈,12세 관람가
7,백두산,12세 관람가
8,캡틴 마블,12세 관람가
9,조커,15세 관람가
10,봉오동 전투,15세 관람가
11,라이온 킹,전체 관람가
12,나쁜 녀석들: 더 무비,15세 관람가
13,82년생 김지영,12세 관람가
14,분노의 질주: 홉스&쇼,12세 관람가
15,토이 스토리 4,전체 관람가
16,돈,15세 관람가
17,악인전,청소년 관람불가
18,가장 보통의 연애,15세 관람가
19,말모이,12세 관람가
20,증인,헝가리
21,시동,15세 관람가
22,블랙머니,"범죄, 스릴러"
23,터미네이터: 다크 페이트,15세 관람가
24,사바하,15세 관람가
25,타짜: 원 아이드 잭,청소년 관람불가
26,신의 한 수: 귀수편,15세 관람가
27,알리타: 배틀 엔젤,12세 관람가
28,내안의 그놈,15세 관람가
29,뺑반,15세 관람가
30,변신,대만
31,주먹왕 랄프 2: 인터넷 속으로,전체 관람가
32,걸캅스,15세 관람가
33,사자,15세 관람가
34,아쿠아맨,12세 관람가
35,드래곤 길들이기 3,전체 관람가
36,나의 특별한 형제,12세 관람가
37,어스,한국
38,말레피센트 2,12세 관람가
39,유열의 음악앨범,12세 관람가
40,퍼펙트맨,12세 관람가
41,포드 V 페라리,12세 관람가
42,생일,에스토니아
43,"힘을 내요, 미스터 리",2019.09.11.
44,항거:유관순 이야기,12세 관람가
45,장사리 : 잊혀진 영웅들,12세 관람가
46,마이펫의 이중생활 2,전체 관람가
47,롱 리브 더 킹: 목포 영웅,Nan
48,쥬만지: 넥스트 레벨,12세 관람가
49,존 윅 3: 파라벨룸,청소년 관람불가
50,천문: 하늘에 묻는다,12세 관람가
51,나랏말싸미,전체 관람가
52,엑스맨: 다크 피닉스,12세 관람가
53,맨 인 블랙: 인터내셔널,2019.06.12.
54,레드슈즈,14분
55,뽀로로 극장판 보물섬 대모험,전체 관람가
56,캣츠,"드라마, 스릴러, 코미디"
57,보헤미안 랩소디,12세 관람가
58,명탐정 피카츄,전체 관람가
59,신비아파트 극장판 하늘도깨비 대 요르문간드,전체 관람가
60,나이브스 아웃,12세 관람가
61,샤잠!,12세 관람가
62,날씨의 아이,2019.10.30.

63,나를 찾아줘,15세 관람가
64,광대들: 풍문조작단,12세 관람가
65,그것: 두 번째 이야기,15세 관람가
66,극장판 헬로카봇 : 달나라를 구해줘!,전체 관람가
67,극장판 헬로카봇: 옴파로스 섬의 비밀,전체 관람가
68,이스케이프 룸,15세 관람가
69,양자물리학,15세 관람가
70,애드 아스트라,12세 관람가
71,47미터 2,15세 관람가
72,PMC: 더 벙커,15세 관람가
73,애나벨 집으로,15세 관람가
74,감쪽같은 그녀,전체 관람가
75,글래스,"오스트레일리아, 미국"
76,그린 북,2019.01.09.
77,장난스런 키스,12세 관람가
78,해피 데스데이 2 유,2019.02.14.
79,극장판 공룡메카드: 타이니소어의 섬,2019.01.10.
80,범블비,12세 관람가
81,제미니 맨,2019.10.09.
82,고질라: 킹 오브 몬스터,12세 관람가
83,덤보,12세 관람가
84,러브 유어셀프 인 서울,전체 관람가
85,브링 더 소울 : 더 무비,2019.08.07.
86,아담스 패밀리,전체 관람가
87,헬보이,15세 관람가
88,예스터데이,15세 관람가
89,천로역정: 천국을 찾아서,전체 관람가
90,미성년,15세 관람가
91,배심원들,드라마
92,기방도령,15세 관람가
93,신데렐라:마법 반지의 비밀,전체 관람가
94,원스 어폰 어 타임... 인 할리우드,청소년 관람불가
95,기묘한 가족,2019.02.13.
96,악질경찰,청소년 관람불가
97,라스트 크리스마스,12세 관람가
98,메리 포핀스 리턴즈,전체 관람가
99,명탐정 코난: 감청의 권,2019.07.24.
100,스윙키즈,12세 관람가
101,커런트 워,2019.08.22.
102,어린 의뢰인,12세 관람가
103,"안녕, 티라노: 영원히, 함께",전체 관람가
104,비스트,12세 관람가
105,요로나의 저주,15세 관람가
106,언니,한국
107,언더독,전체 관람가
108,롱 샷,2019.07.24.
109,앵그리 버드 2: 독수리 왕국의 침공,전체 관람가
110,우상,15세 관람가
111,엔젤 해즈 폴른,15세 관람가
112,두번할까요,15세 관람가
113,점박이 한반도의 공룡2 : 새로운 낙원,전체 관람가
114,자전차왕 엄복동,12세 관람가
115,진범,15세 관람가
116,더 페이버릿: 여왕의 여자,15세 관람가
117,이웃집 토토로,전체 관람가
118,가버나움,15세 관람가
119,벌새,독일
120,눈의 여왕4,전체 관람가
121,크롤,"범죄, 스릴러"
122,극장판 엉덩이 탐정: 화려한 사건 수첩,전체 관람가
123,해리포터와 비밀의 방,2002.12.13.
124,0.0MHz,15세 관람가
125,좀비랜드: 더블 탭,15세 관람가
126,바이스,15세 관람가
127,미드웨이,15세 관람가
128,프린스 코기,전체 관람가
129,윤희에게,12세 관람가
130,명탐정 코난:전율의 악보,12세 관람가
131,안나,인도
132,교회오빠,전체 관람가
133,로켓맨,오스트레일리아
134,암전,12세 관람가
135,미래의 미라이,전체 관람가
136,람보 : 라스트 워,2019.10.23.
137,공포의 묘지,15세 관람가
138,원더랜드,"범죄, 미스터리, 드라마, 스릴러"
139,크게 될 놈,15세 관람가
140,콜드 체이싱,15세 관람가
141,라스트 미션,15세 관람가
142,파이브 피트,15세 관람가
143,소피와 드래곤: 마법책의 비밀,전체 관람가
144,아이 엠 마더,15세 관람가
145,러브 앳,2019.11.27.
146,아내를 죽였다,15세 관람가
147,구스 베이비,전체 관람가
148,더 보이,미국
149,김복동,12세 관람가
150,레고 무비2,전체 관람가
151,미드소마,청소년 관람불가
152,그대 이름은 장미,12세 관람가
153,스파이더맨: 뉴 유니버스,2018.12.12.
154,로망,20분
155,"어쩌다, 결혼",12세 관람가
156,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,전체 관람가
157,호텔 뭄바이,15세 관람가
158,카운트다운,청소년 관람불가
159,극장판 반지의 비밀일기,전체 관람가
160,그린치,2018.12.19.
161,몬스터 하우스,전체 관람가
162,노팅 힐,12세 관람가
163,닥터 슬립,15세 관람가
164,1919 유관순,12세 관람가
165,안녕 베일리,전체 관람가
166,사탄의 인형,15세 관람가
167,애프터,스릴러
168,더 룸,7분
169,우리집,15분
170,왓칭,15세 관람가
171,사일런스,15세 관람가
172,빅샤크2: 해저2만리,전체 관람가
173,어글리 돌,2019.05.01.
174,콜레트,Nan
175,마약왕,청소년 관람불가
176,세상을 바꾼 변호인,12세 관람가
177,슈퍼미니 2,전체 관람가
178,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,15세 관람가
179,업사이드,12세 관람가
180,허슬러,청소년 관람불가
181,빅트립: 아기팬더 배달 대모험,전체 관람가
182,마담 싸이코,15세 관람가
183,쿠르스크,15세 관람가
184,파비안느에 관한 진실,12세 관람가
185,칠곡 가시나들,전체 관람가
186,일일시호일,12세 관람가
187,더 와이프,15세 관람가
188,레플리카,15세 관람가
189,주전장,전체 관람가
190,몬스터 파크,전체 관람가
191,메기,8분
192,프란치스코 교황 : 맨 오브 히스 워드,전체 관람가
193,인생 후르츠,전체 관람가
194,드래곤볼 슈퍼: 브로리,전체 관람가
195,안도 타다오,전체 관람가
196,아이리시맨,청소년 관람불가
197,빠삐용,15세 관람가
198,서스페리아,청소년 관람불가
199,빅 위시,전체 관람가
200,100일 동안 100가지로 100퍼센트 행복찾기,15세 관람가
201,마녀배달부 키키,전체 관람가
202,너를 만난 여름,12세 관람가
203,썬키스 패밀리,15세 관람가
204,누구나 아는 비밀,15세 관람가
205,더 길티,15세 관람가
206,신밧드와 마법 양탄자,전체 관람가
207,북클럽,15세 관람가
208,캐리tv 러브콘서트 더 무비,2019.08.07.
209,왕이 될 아이,2019.01.16.
210,"다시, 봄",한국
211,플레이모빌: 더 무비,전체 관람가
212,대통령의 7시간,12세 관람가
213,마리아 칼라스: 세기의 디바,전체 관람가
214,콜드 워,15세 관람가
215,리틀 포니 프린세스,"판타지, 드라마"
216,내 완벽한 남사친의 비밀,2019.03.27.
217,러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,전체 관람가
218,판소리 복서,12세 관람가
219,굿 라이어,15세 관람가
220,크리스마스 호러 스토리,공포
221,세계는 오늘부터 너의 것,2.5만명
222,블라인드 멜로디,15세 관람가
223,전원사형,"서스펜스, 드라마"
224,"미안해요, 리키",12세 관람가
225,정글북: 마법 원정대,전체 관람가
226,칠드런 액트,12세 관람가
227,극장판 포켓몬스터 모두의 이야기,전체 관람가
228,BIFAN2019 판타스틱 단편 걸작선 1,"애니메이션, 드라마, 다큐멘터리"
229,모험왕 블링키,Nan
230,추격자: 살인자의 증거,"드라마, 스릴러"
231,명탐정 코난 : 제로의 집행인,12세 관람가
232,얼굴없는 보스,2019.11.21.
233,노무현과 바보들,12세 관람가
234,여대생 기숙사에서 생긴 일,2.3만명
235,이타미 준의 바다,전체 관람가
236,트레킹: 저주의 숲,15세 관람가
237,마녀: 소녀의 비밀,미스터리
238,철벽선생,12세 관람가
239,이스케이프 게임,스릴러
240,숲속의 마녀들,"공포, 미스터리, 스릴러"
241,숲속왕국의 꿀벌 여왕,전체 관람가
242,드래곤 길들이기,전체 관람가
243,판의 미로 - 오필리아와 세 개의 열쇠,15세 관람가
244,사이코패스,공포
245,로마,128분
246,잃어버린 세계를 찾아서,전체 관람가
247,매트릭스,"액션, SF"
248,리노,전체 관람가
249,미드 90,청소년 관람불가
250,결혼 이야기,청소년 관람불가
251,물의 기억,"드라마, 판타지"
252,미스 스티븐스,12세 관람가
253,나의 히어로 아카데미아 더 무비: 두 명의 히어로,전체 관람가
254,더 킹: 헨리 5세,청소년 관람불가
255,레토,15세 관람가
256,지구공룡대탐험,전체 관람가
257,데드 트리거,15세 관람가
258,뱅드림! 필름 라이브,전체 관람가
259,사이몬과 타카시,15세 관람가
260,어제 일은 모두 괜찮아,Nan
261,마담 프루스트의 비밀정원,전체 관람가
262,경계선,"영국, 이스라엘"
263,유랑지구,12세 관람가
264,빌리어네어 보이즈클럽,15세 관람가
265,프렌즈: 둥지탈출,전체 관람가
266,호크니,12세 관람가
267,조,청소년 관람불가
268,크리미널 체이스,"액션, 범죄, 스릴러"
269,아이스,미국
270,"고흐, 영원의 문에서",12세 관람가
271,김군,12세 관람가
272,두 교황,12세 관람가
273,킹 오브 프리즘 -샤이니 세븐 스타즈-,2019.03.07.
274,와일드 로즈,15세 관람가
275,마왕의 딸 이리샤,전체 관람가
276,행복한 라짜로,12세 관람가
277,라라와 움직이는 비밀의 숲,전체 관람가
278,아픈 만큼 사랑한다,전체 관람가
279,극장판 샤이닝스타:새로운 루나퀸의 탄생!,전체 관람가
280,이케아 옷장에서 시작된 특별난 여행,12세 관람가
281,돈 워리,멕시코
282,파리의 딜릴리,전체 관람가
283,쉘부르의 우산,12세 관람가
284,삽질,12세 관람가
285,헤로니모,전체 관람가
286,극장판 타오르지마 버스터-블랙어썰트의 귀환,전체 관람가
287,해치지않아,12세 관람가
288,크리드2,12세 관람가
289,모리스,미국
290,프렌드 존,2019.10.30.
291,아사코,12세 관람가
292,카센타,15세 관람가
293,수영장으로 간 남자들,15세 관람가
294,킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,Nan
295,시민 노무현,12세 관람가
296,뷰티풀 보이,15세 관람가
297,버티고,한국
298,양지의 그녀,12세 관람가
299,별의 정원,2019.07.04.
300,신과함께-인과 연,2018.08.01.
301,어벤져스: 인피니티 워,2018.04.25.
302,보헤미안 랩소디,12세 관람가
303,미션 임파서블: 폴아웃,15세 관람가
304,신과함께-죄와 벌,2017.12.20.
305,쥬라기 월드: 폴른 킹덤,12세 관람가
306,앤트맨과 와스프,12세 관람가
307,안시성,12세 관람가
308,블랙 팬서,프랑스
309,완벽한 타인,"드라마, 코미디"
310,1987,15세 관람가
311,독전,스릴러
312,공작,12세 관람가
313,베놈,"공포, 스릴러"
314,암수살인,15세 관람가
315,데드풀 2,청소년 관람불가
316,국가부도의 날,2018.11.28.
317,코코,전체 관람가
318,아쿠아맨,12세 관람가
319,그것만이 내 세상,12세 관람가
320,마녀,스릴러
321,탐정: 리턴즈,15세 관람가
322,인크레더블 2,전체 관람가
323,서치,스웨덴
324,너의 결혼식,한국
325,곤지암,15세 관람가
326,지금 만나러 갑니다,12세 관람가
327,목격자,15세 관람가
328,조선명탐정: 흡혈괴마의 비밀,12세 관람가
329,신비한 동물들과 그린델왈드의 범죄,12세 관람가
330,메이즈 러너: 데스 큐어,12세 관람가
331,맘마미아!2,12세 관람가
332,레디 플레이어 원,12세 관람가
333,명당,12세 관람가
334,협상,15세 관람가
335,마약왕,청소년 관람불가
336,쥬만지: 새로운 세계,12세 관람가
337,창궐,15세 관람가
338,성난황소,드라마
339,도어락,15세 관람가
340,리틀 포레스트,전체 관람가
341,골든슬럼버,15세 관람가
342,램페이지,12세 관람가
343,궁합,12세 관람가
344,오션스8,12세 관람가
345,사라진 밤,15세 관람가
346,스윙키즈,12세 관람가
347,바람 바람 바람,청소년 관람불가
348,PMC: 더 벙커,15세 관람가
349,범블비,12세 관람가
350,챔피언,12세 관람가
351,퍼시픽 림: 업라이징,15세 관람가
352,몬스터 호텔 3,전체 관람가
353,더 넌,2014.01.23.
354,스카이스크래퍼,12세 관람가
355,염력,15세 관람가
356,월요일이 사라졌다,15세 관람가
357,인랑,15세 관람가
358,극장판 헬로카봇 : 백악기 시대,2018.08.01.
359,레슬러,15세 관람가
360,상류사회,청소년 관람불가
361,물괴,15세 관람가
362,미쓰백,15세 관람가
363,신비아파트: 금빛 도깨비와 비밀의 동굴,전체 관람가
364,퍼스트맨,미국
365,스파이더맨: 뉴 유니버스,2018.12.12.
366,위대한 쇼맨,12세 관람가
367,인시디어스4: 라스트 키,15세 관람가
368,"그날, 바다",15세 관람가
369,툼레이더,12세 관람가
370,페르디난드,전체 관람가
371,버닝,청소년 관람불가
372,7년의 밤,15세 관람가
373,메가로돈,2018.08.15.
374,콰이어트 플레이스,15세 관람가
375,호두까기 인형과 4개의 왕국,전체 관람가
376,셰이프 오브 워터: 사랑의 모양,청소년 관람불가
377,곰돌이 푸 다시 만나 행복해,전체 관람가
378,변산,15세 관람가
379,그린치,2018.12.19.
380,스타 이즈 본,15세 관람가
381,동네사람들,15세 관람가
382,원더풀 고스트,12세 관람가
383,강철비,15세 관람가
384,흥부: 글로 세상을 바꾼 자,2018.02.14.
385,명탐정 코난 : 제로의 집행인,12세 관람가
386,피터 래빗,전체 관람가
387,점박이 한반도의 공룡2 : 새로운 낙원,전체 관람가
388,패딩턴 2,전체 관람가
389,허스토리,12세 관람가
390,미드나잇 선,청소년 관람불가
391,덕구,전체 관람가
392,번 더 스테이지: 더 무비,2018.11.15.
393,트루스 오어 데어,15세 관람가
394,커뮤터,Nan
395,후드,한국
396,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,전체 관람가
397,해리포터와 마법사의 돌,전체 관람가
398,모털 엔진,12세 관람가
399,바울,15세 관람가
400,나를 차버린 스파이,15세 관람가
401,명탐정 코난:감벽의 관,12세 관람가
402,아이 필 프리티,15세 관람가
403,시카리오: 데이 오브 솔다도,15세 관람가
404,치즈인더트랩,15세 관람가
405,12 솔져스,15세 관람가
406,1급기밀,12세 관람가
407,50가지 그림자: 해방,청소년 관람불가
408,속닥속닥,15세 관람가
409,벽 속에 숨은 마법시계,전체 관람가
410,허리케인 하이스트,15세 관람가
411,한 솔로: 스타워즈 스토리,12세 관람가
412,콜 미 바이 유어 네임,청소년 관람불가
413,나미야 잡화점의 기적,12세 관람가
414,업그레이드,15세 관람가
415,런닝맨 : 풀룰루의 역습,전체 관람가
416,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,전체 관람가
417,극장판 도라에몽: 진구의 보물섬,전체 관람가
418,원더,전체 관람가
419,유전,15세 관람가
420,더 프레데터,청소년 관람불가
421,어느 가족,2018.07.26.
422,극장판 포켓몬스터 모두의 이야기,전체 관람가
