,month,year,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
0,5,2019,446,5998,0,5,0.0,3,102.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,419333.3333,7.146666667,1134619.646,7.202083333
1,11,2015,1105,51940,2,6,1.0,3,148.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,857992.5,8.01,1267766.676,7.82090873
2,9,2019,59,1482,2,2,0.0,3,111.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16685.5,8.63,23790.33333,8.341666667
3,1,2018,211,9844,1,4,0.0,3,130.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,225768.32117104737,5.498639112275811,2588981.267,8.14
4,3,2016,380,9615,1,4,1.0,3,144.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1176000.0,8.076,283855.5,7.517583333
5,3,2019,269,3249,0,11,0.0,2,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,225768.32117104737,5.498639112275811,168571.3333,7.941607143
6,12,2017,2421,138226,0,6,1.0,3,129.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3342278.762,8.299333333,3193662.681,8.449261905
7,6,2015,297,7147,1,5,1.0,4,115.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,734762.0139,7.526319444
8,1,2018,512,11352,0,3,0.0,2,101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,247883.6667,7.498,729811.5512,7.669583333
9,2,2017,952,44104,1,2,1.0,3,117.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,580250.0,6.8575,964428.5714,7.987142857
10,11,2012,29,635,0,3,0.0,3,135.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,609608.5,7.803142857,1820051.556,7.332996032
11,3,2014,720,54902,1,4,1.0,4,102.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,818000.0,7.745,377089.0262,7.661488095
12,4,2016,320,4299,1,0,0.0,2,133.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39333.33333,8.85,269091.3,7.614888889
13,5,2016,45,1174,2,4,0.0,3,95.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,208002.25,7.775833333
14,7,2017,733,20457,2,4,0.0,3,90.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,371333.3333,6.62,406584.0625,8.151875
15,8,2019,649,24027,1,4,0.0,3,90.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,371333.3333,6.62,406584.0625,8.151875
16,7,2013,35,950,0,4,1.0,3,97.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36000.0,6.06,967590.3393,8.137380952
17,4,2016,213,4726,0,4,0.0,3,116.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,444979.1429,7.827142857,1276930.529,7.884017857
