,boxoffice_num0
0,137294
1,1820760
2,32573
3,223740
4,145952
5,61938
6,7232387
7,170647
8,217803
9,1675819
10,23177
11,1593116
12,41269
13,23707
14,590045
15,501934
16,13418
17,38611
18,147891
19,189620
20,217785
21,54325
22,21239
23,528007
24,34567
25,92598
26,347790
27,3678156
28,23518
29,19843
30,23865
31,1671548
32,1179031
33,101460
34,16439
35,19598
36,33129
37,1311190
38,2735721
39,510878
40,147798
41,145017
42,142170
43,8307
44,49849
45,2924563
46,1110246
47,3117859
48,117488
49,5508017
50,469296
51,919834
52,2192276
53,4452740
54,4014293
55,53576
56,921788
57,33229
58,306192
59,42892
60,46638
61,88777
62,14426
63,32418
64,513202
65,23153
66,95542
67,29190
68,28569
69,1629528
70,9707581
71,5442128
72,11650
73,101381
74,2138174
75,10296101
76,13369064
77,24658
78,20114
79,1212843
80,11782
81,17714
82,356415
83,63481
84,482516
85,55675
86,1141222
87,974262
88,23802
89,515553
90,709734
91,359041
92,16691
93,6879908
94,2675575
95,25612
96,1387508
97,492201
98,764072
99,1766285
100,260514
101,4974520
102,14520
103,7817618
104,102826
105,781516
106,9134581
107,637461
108,17691
109,223216
110,112712
111,91430
112,297356
113,25857
114,709929
115,3747952
116,14261581
117,5345677
118,4774931
119,15333
120,6592151
121,1328913
122,26382
123,46847
124,31334
125,2108273
126,1340117
127,3587173
128,21268
129,20868
130,13448
131,18648
132,888836
133,591346
134,3419339
135,39349
136,540631
137,653287
138,350618
139,1046015
140,88054
141,21385
142,46623
143,38622
144,774699
145,20961
146,31640
147,124208
148,49287
149,237219
150,364415
151,43082
152,501486
153,434899
154,552970
155,485064
156,56541
157,2860786
158,59611
159,19598
160,410132
161,135398
162,30123
163,15381
164,113404
165,59147
166,167052
167,183220
168,122172
169,168171
170,141865
171,21939
172,34466
173,225842
174,68339
175,41054
176,15785
177,120667
178,54988
179,36492
180,141351
181,280406
182,28364
183,19986
184,138118
185,137052
186,157689
187,330725
188,550924
189,215203
190,32117
191,333184
192,353012
193,277206
194,63311
195,15122
196,12635
197,215046
198,100026
199,64622
200,65895
201,74346
202,233347
203,509555
204,415255
205,194692
206,169677
207,320409
208,19431
209,183421
210,56842
211,23048
212,31843
213,56539
214,36450
215,590413
216,879449
217,575362
218,320884
219,16265618
220,44441
221,466475
222,189221
223,22825
224,263598
225,287053
226,187291
227,63560
228,10085275
229,2564340
230,1778083
231,1386611
232,53230
233,98231
234,16605
235,89011
236,22100
237,1209363
238,31368
239,17463
240,15516
241,33589
242,42879
243,20146
244,53735
245,25149
246,18509
247,29114
248,81136
249,31713
250,122414
251,4018035
252,24393
253,38734
254,3450305
255,96712
256,53852
257,175518
258,31494
259,18326
260,958775
261,141222
262,33380
263,425799
264,264766
265,645082
266,1764233
267,191988
268,16368
269,4573902
270,42335
271,9931
272,2718227
273,3100113
274,44906
275,38305
276,385932
277,58454
278,2141155
279,30181
