idx,rank,name,date,sales,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13
0,1,설국열차,2013.8.1,"67,010,087,500",4.30%,"9,349,993","1,128","124,823",한국,"한국,체코",(주)씨제이이엔엠, 봉준호,,,, 크리스 에반스, 송강호, 에드 해리스, 존 허트, 틸다 스윈튼, 제이미 벨, 옥타비아 스펜서, 이완 브렘너, 알리슨 필, 고아성,,,
1,2,관상,2013.9.11,"66,005,427,500",4.30%,"9,134,581","1,240","125,073",한국,한국,(주)쇼박스, 한재림,,,, 송강호, 이정재, 백윤식, 조정석, 이종석, 김혜수,,,,,,,
2,3,아이언맨 3,2013.4.25,"70,806,364,000",4.60%,"9,001,331","1,389","163,584",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 셰인 블랙,,,, 로버트 다우니 주니어, 기네스 팰트로, 벤 킹슬리, 돈 치들, 가이 피어스, 레베카 홀,,,,,,,
3,4,베를린,2013.1.30,"52,355,568,637",3.40%,"7,166,290",894,"111,744",한국,"한국,독일",(주)씨제이이엔엠,류승완,,,, 하정우,한석규,류승범,전지현,이경영,,,,,,,,
4,5,은밀하게 위대하게,2013.6.5,"48,700,887,413",3.10%,"6,959,083","1,341","117,461",한국,한국,(주)쇼박스, 장철수,,,, 김수현, 박기웅, 이현우, 손현주,,,,,,,,,
5,6,변호인,2013.12.18,"40,953,398,000",2.60%,"5,687,047",923,"55,006",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 양우석,,,, 송강호, 김영애, 오달수, 곽도원, 임시완,,,,,,,,
6,7,숨바꼭질,2013.8.14,"39,602,977,500",2.60%,"5,604,103",779,"88,062",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 존 폴슨,,,, 로버트 드 니로, 다코타 패닝,,,,,,,,,,,
7,8,더 테러 라이브,2013.7.31,"39,869,706,381",2.60%,"5,584,139",809,"93,488",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 카일 랜킨,,,, 라다 미첼, 토마스 제인,,,,,,,,,,,
8,9,감시자들,2013.7.3,"39,380,162,179",2.50%,"5,508,017",949,"100,309",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 조의석, 김병서,,, 설경구, 정우성, 한효주,,,,,,,,,,
9,10,월드 워 Z,2013.6.20,"38,555,356,000",2.50%,"5,237,525",964,"100,823",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 샘 햄슨,,,,,,,,,,,,,,,,
10,11,신세계,2013.2.21,"34,881,330,905",2.20%,"4,682,492",671,"90,580",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 박훈정,,,, 이정재, 최민식, 황정민,,,,,,,,,,
11,12,박수건달,2013.1.9,"28,343,986,569",1.80%,"3,893,216",603,"60,585",한국,한국,(주)쇼박스, 조진규,,,, 박신양, 김정태, 엄지원, 정혜영,,,,,,,,,
12,13,스파이,2013.9.5,"24,509,278,305",1.60%,"3,435,802",785,"72,796",한국,"한국,태국",(주)씨제이이엔엠, 폴 페이그,,,, 멜리사 맥카시, 주드 로, 제이슨 스타뎀, 미란다 하트, 로즈 번, 앨리슨 제니, 피터 세라피노윅,,,,,,
13,14,그래비티,2013.10.17,"31,214,018,600",2.00%,"3,194,693",636,"80,584",미국,미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)", 알폰소 쿠아론,,,, 산드라 블록, 조지 클루니,,,,,,,,,,,
14,15,타워,2012.12.25,"22,996,601,500",1.50%,"3,166,425",638,"58,869",한국,한국,(주)씨제이이엔엠, 김지훈,,,, 설경구, 손예진, 김상경,,,,,,,,,,
15,16,감기,2013.8.14,"21,774,884,000",1.40%,"3,117,859",806,"55,046",한국,한국,아이러브시네마,,,,,,,,,,,,,,,,,
16,17,토르: 다크 월드,2013.10.30,"22,525,808,500",1.50%,"3,039,889",733,"78,095",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 앨런 테일러,,,, 크리스 헴스워스, 나탈리 포트만, 톰 히들스턴, 안소니 홉킨스, 크리스토퍼 에클리스턴, 이드리스 엘바,,,,,,,
