idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
0,베테랑,2015.8.5,"105,168,155,250",6.10%,"13,414,009","1,115","199,231",한국,한국,(주)씨제이이엔엠, 류승완,, 황정민, 유아인, 유해진, 오달수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,암살,2015.7.22,"98,463,132,781",5.70%,"12,705,700","1,519","175,185",한국,한국,(주)쇼박스, 최동훈,, 전지현, 이정재, 하정우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,어벤져스: 에이지 오브 울트론,2015.4.23,"88,582,586,366",5.20%,"10,494,499","1,843","191,778",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)", 조스 웨던,, 로버트 다우니 주니어, 크리스 헴스워스, 마크 러팔로, 크리스 에반스, 스칼릿 조핸슨, 제레미 레너, 돈 치들, 제임스 스페이더, 사무엘 L. 잭슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,국제시장,2014.12.17,"69,841,376,134",4.10%,"8,915,904","1,044","149,061",한국,한국,(주)씨제이이엔엠, 윤제균,, 황정민, 김윤진, 오달수, 정진영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,내부자들,2015.11.19,"56,465,665,657",3.30%,"7,055,332","1,129","152,265",한국,한국,(주)쇼박스, 우민호,, 이병헌, 조승우, 백윤식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,사도,2015.9.16,"48,842,902,501",2.80%,"6,246,849","1,210","124,246",한국,한국,(주)쇼박스, 이준익,, 송강호, 유아인, 문근영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,킹스맨 : 시크릿 에이전트,2015.2.11,"50,369,009,795",2.90%,"6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주), 매튜 본,, 콜린 퍼스, 태런 에저튼, 사무엘 L. 잭슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,미션 임파서블: 로그네이션,2015.7.30,"48,547,353,607",2.80%,"6,126,488","1,202","89,682",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 크리스토퍼 맥쿼리,, 톰 크루즈, 제레미 레너, 사이먼 페그, 알렉 볼드윈, 레베카 퍼거슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,연평해전,2015.6.24,"45,563,228,330",2.70%,"6,043,784","1,013","114,450",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김학순,, 김무열, 진구, 이현우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,쥬라기 월드,2015.6.11,"47,800,698,826",2.80%,"5,546,792","1,290","118,959",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,검은 사제들,2015.11.5,"42,405,282,092",2.50%,"5,442,128","1,109","131,155",한국,한국,(주)씨제이이엔엠, 돈 E. 폰트르로이,, 토빈 벨, 랜디 셸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,히말라야,2015.12.16,"39,469,775,448",2.30%,"5,129,409","1,095","81,042",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,인사이드 아웃,2015.7.9,"38,024,694,936",2.20%,"4,969,735",931,"84,000",미국,미국,월트디즈니컴퍼니코리아(주), 피트 닥터,, 에이미 포엘러, 필리스 스미스, 민디 캘링, 빌 헤이더, 루이스 블랙, 케이틀린 디아스, 카일 맥라클란, 다이안 레인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,마션,2015.10.8,"39,663,145,295",2.30%,"4,880,800","1,132","114,183",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 리들리 스콧,, 맷 데이먼, 제시카 차스테인, 세바스찬 스탠, 제프 다니엘스, 케이트 마라, 크리스틴 위그,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
