idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,director5,director6,director7,director8,director9,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19
0,신과함께-인과 연,2018.8.1,"102,666,146,909",5.7%,"12,274,996","2,235","179,981",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 김용화,,,,,,,,, 하정우, 주지훈, 김향기, 마동석, 김동욱,,,,,,,,,,,,,,
1,어벤져스: 인피니티 워,2018.4.25,"99,926,399,769",5.5%,"11,212,710","2,553","240,501",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 안소니 루소, 조 루소,,,,,,,, 로버트 다우니 주니어, 조슈 브롤린, 크리스 헴스워스, 베네딕트 컴버배치, 크리스 프랫, 마크 러팔로, 톰 홀랜드, 채드윅 보스만, 크리스 에반스, 스칼릿 조핸슨, 엘리자베스 올슨, 폴 베타니, 조 샐다나, 안소니 마키, 톰 히들스턴, 돈 치들, 브래들리 쿠퍼, 빈 디젤, 데이브 바티스타
2,보헤미안 랩소디,2018.10.31,"80,010,440,345",4.4%,"9,224,582","1,179","204,537",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 브라이언 싱어,,,,,,,,, 라미 말렉, 루시 보인턴, 귈림 리, 벤 하디, 조셉 마젤로,,,,,,,,,,,,,,
3,미션 임파서블: 폴아웃,2018.7.25,"55,888,375,112",3.1%,"6,584,915","1,957","101,374",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트, 크리스토퍼 맥쿼리,,,,,,,,, 톰 크루즈, 헨리 카빌, 사이먼 페그, 레베카 퍼거슨,,,,,,,,,,,,,,,
4,신과함께-죄와 벌,2017.12.20,"47,355,583,705",2.6%,"5,872,007","1,644","121,961",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김용화,,,,,,,,, 하정우, 차태현, 주지훈, 김향기, 김동욱, 마동석,,,,,,,,,,,,,
5,쥬라기 월드: 폴른 킹덤,2018.6.6,"49,770,711,037",2.7%,"5,661,128","1,972","144,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 후안 안토니오 바요나,,,,,,,,, 크리스 프랫, 브라이스 달라스 하워드,,,,,,,,,,,,,,,,,
6,앤트맨과 와스프,2018.7.4,"47,468,053,685",2.6%,"5,448,134","1,775","148,244",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 페이튼 리드,,,,,,,,, 폴 러드, 에반젤린 릴리, 마이클 더글라스, 마이클 페나, 로렌스 피시번, 미셸 파이퍼, 해나 존-케이먼,,,,,,,,,,,,
7,안시성,2018.9.19,"46,335,334,026",2.6%,"5,440,186","1,540","110,439",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김광식,,,,,,,,, 조인성, 남주혁, 박성웅,,,,,,,,,,,,,,,,
8,블랙 팬서,2018.2.14,"45,885,123,957",2.5%,"5,399,227","1,620","119,170",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 라이언 쿠글러,,,,,,,,, 채드윅 보스만,,,,,,,,,,,,,,,,,,
9,완벽한 타인,2018.10.31,"44,350,807,074",2.4%,"5,293,435","1,325","143,055",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 우묘,,,,,,,,, 통따웨이, 마려, 곽사연, 교삼, 톈위, 대악악, 해몽요,,,,,,,,,,,,
10,1987,2017.12.27,"42,915,772,108",2.4%,"5,290,310","1,122","110,607",한국,한국,(주)씨제이이엔엠, 장준환,,,,,,,,, 김윤석, 하정우, 유해진, 김태리, 박희순, 이희준,,,,,,,,,,,,,
11,독전,2018.5.22,"43,485,551,113",2.4%,"5,063,684","1,532","140,007",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 이해영,,,,,,,,, 조진웅, 류준열, 김주혁, 김성령, 박해준,,,,,,,,,,,,,,
12,공작,2018.8.8,"42,788,851,176",2.4%,"4,974,520","1,317","99,001",한국,한국,(주)씨제이이엔엠, 윤종빈,,,,,,,,, 황정민, 이성민, 조진웅, 주지훈,,,,,,,,,,,,,,,
13,베놈,2018.10.3,"34,100,211,207",1.9%,"3,888,096","1,308","116,149",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 짐 길레스피,,,,,,,,, 아그네스 브루크너, 조나단 잭슨,,,,,,,,,,,,,,,,,
14,암수살인,2018.10.3,"32,995,138,548",1.8%,"3,789,321","1,177","126,127",한국,한국,(주)쇼박스, 김태균,,,,,,,,, 김윤석, 주지훈,,,,,,,,,,,,,,,,,
15,데드풀 2,2018.5.16,"34,185,664,639",1.9%,"3,784,602","1,576","113,288",미국,미국,이십세기폭스코리아(주), 데이빗 레이치,,,,,,,,, 라이언 레이놀즈, 조슈 브롤린, 재지 비츠, 모레나 바카린,,,,,,,,,,,,,,,
16,국가부도의 날,2018.11.28,"30,845,862,137",1.7%,"3,747,952","1,180","100,804",한국,한국,(주)씨제이이엔엠, 최국희,,,,,,,,, 김혜수, 유아인, 허준호, 조우진, 뱅상 카셀,,,,,,,,,,,,,,
17,코코,2018.1.11,"27,685,479,440",1.5%,"3,510,017","1,177","85,925",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,아쿠아맨,2018.12.19,"30,454,292,381",1.7%,"3,491,857","1,285","54,505",미국,"미국,호주",워너브러더스 코리아(주), 제임스 완,,,,,,,,, 제이슨 모모아, 앰버 허드, 니콜 키드먼, 패트릭 윌슨, 윌렘 대포, 돌프 룬드그렌,,,,,,,,,,,,,
19,그것만이 내 세상,2018.1.17,"27,450,805,382",1.5%,"3,419,339",956,"95,431",한국,한국,(주)씨제이이엔엠, 최성현,,,,,,,,, 이병헌, 윤여정, 박정민,,,,,,,,,,,,,,,,
20,마녀,2018.6.27,"27,242,029,463",1.5%,"3,189,091","1,117","90,843",한국,한국,워너브러더스 코리아(주), 로렌스 라노프,,,,,,,,, 킴 딜레이니, 크리스 서랜던,,,,,,,,,,,,,,,,,
21,탐정: 리턴즈,2018.6.13,"26,909,459,678",1.5%,"3,152,872","1,137","107,907",한국,한국,(주)씨제이이엔엠, 이언희,,,,,,,,, 권상우, 성동일, 이광수,,,,,,,,,,,,,,,,
22,인크레더블 2,2018.7.18,"24,554,683,588",1.4%,"3,033,052","1,605","70,934",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 브래드 버드,,,,,,,,, 크레이그 T. 넬슨, 사무엘 L. 잭슨, 홀리 헌터, 사라 보웰, 헉 밀너,,,,,,,,,,,,,,
23,서치,2018.8.29,"25,283,364,845",1.4%,"2,949,944","1,097","95,758",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,너의 결혼식,2018.8.22,"23,676,244,369",1.3%,"2,820,969",970,"98,193",한국,한국,메가박스중앙(주)플러스엠, 손지윤,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,곤지암,2018.3.28,"21,442,194,144",1.2%,"2,675,575","1,124","88,477",한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,지금 만나러 갑니다,2018.3.14,"20,800,916,128",1.1%,"2,602,273","1,191","97,482",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이장훈,,,,,,,,, 소지섭, 손예진,,,,,,,,,,,,,,,,,
27,목격자,2018.8.15,"21,737,061,097",1.2%,"2,524,720","1,021","71,403",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 조규장,,,,,,,,, 이성민, 김상호, 진경, 곽시양,,,,,,,,,,,,,,,
28,조선명탐정: 흡혈괴마의 비밀,2018.2.8,"19,822,789,764",1.1%,"2,444,136","1,249","74,953",한국,한국,(주)쇼박스, 김석윤,,,,,,,,, 김명민, 오달수, 김지원,,,,,,,,,,,,,,,,
29,신비한 동물들과 그린델왈드의 범죄,2018.11.14,"20,816,583,118",1.1%,"2,414,062","1,601","76,846",미국,미국,워너브러더스 코리아(주), 데이빗 예이츠,,,,,,,,, 에디 레드메인, 조니 뎁, 캐서린 워터스턴, 주드 로, 에즈라 밀러,,,,,,,,,,,,,,
30,메이즈 러너: 데스 큐어,2018.1.17,"18,902,873,104",1.0%,"2,299,732","1,090","58,918",미국,미국,이십세기폭스코리아(주), 웨스 볼,,,,,,,,, 딜런 오브라이언, 토마스 생스터, 카야 스코델라리오, 이기홍,,,,,,,,,,,,,,,
31,맘마미아!2,2018.8.8,"19,607,520,003",1.1%,"2,293,884",750,"59,060",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 올 파커,,,,,,,,, 아만다 사이프리드, 릴리 제임스, 메릴 스트립, 피어스 브로스넌, 제레미 어바인, 콜린 퍼스, 휴 스키너, 스텔란 스카스가드, 조쉬 딜란,,,,,,,,,,
32,레디 플레이어 원,2018.3.28,"19,933,108,071",1.1%,"2,254,430","1,079","77,173",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,명당,2018.9.19,"17,900,775,524",1.0%,"2,087,474","1,117","58,450",한국,한국,메가박스중앙(주)플러스엠, 박희곤,,,,,,,,, 조승우, 지성, 김성균, 문채원, 유재명, 박충선, 백윤식,,,,,,,,,,,,
34,협상,2018.9.19,"17,032,133,166",0.9%,"1,967,721",919,"57,926",한국,한국,(주)씨제이이엔엠, 이종석,,,,,,,,, 손예진, 현빈,,,,,,,,,,,,,,,,,
35,마약왕,2018.12.19,"15,784,724,552",0.9%,"1,813,594","1,297","41,658",한국,한국,(주)쇼박스, 우민호,,,,,,,,, 송강호, 조정석, 배두나,,,,,,,,,,,,,,,,
36,쥬만지: 새로운 세계,2018.1.3,"13,814,824,864",0.8%,"1,708,672",791,"41,806",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 제이크 캐스단,,,,,,,,, 드웨인 존슨, 잭 블랙, 케빈 하트, 카렌 길런,,,,,,,,,,,,,,,
37,창궐,2018.10.25,"13,275,772,490",0.7%,"1,599,290","1,351","60,687",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김성훈,,,,,,,,, 현빈, 장동건,,,,,,,,,,,,,,,,,
38,성난황소,2018.11.22,"13,236,490,737",0.7%,"1,593,386","1,010","48,932",한국,한국,(주)쇼박스, 마틴 스콜세지,,,,,,,,, 로버트 드 니로,,,,,,,,,,,,,,,,,,
39,도어락,2018.12.5,"12,792,097,886",0.7%,"1,559,616",954,"53,732",한국,한국,메가박스중앙(주)플러스엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,리틀 포레스트,2018.2.28,"11,929,202,185",0.7%,"1,506,269",884,"68,414",한국,한국,메가박스중앙(주)플러스엠, 임순례,,,,,,,,, 김태리, 류준열, 문소리, 진기주,,,,,,,,,,,,,,,
41,골든슬럼버,2018.2.14,"11,412,768,798",0.6%,"1,387,508",833,"42,991",한국,한국,(주)씨제이이엔엠, 노동석,,,,,,,,, 강동원, 김의성, 한효주, 김성균, 김대명,,,,,,,,,,,,,,
42,램페이지,2018.4.12,"11,951,980,109",0.7%,"1,385,511",909,"55,295",미국,미국,워너브러더스 코리아(주), 브래드 페이튼,,,,,,,,, 드웨인 존슨, 제프리 딘 모건, 나오미 해리스, 말린 애커맨,,,,,,,,,,,,,,,
43,궁합,2018.2.28,"10,478,875,438",0.6%,"1,340,117",966,"52,427",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,오션스8,2018.6.13,"11,700,157,266",0.6%,"1,335,829",837,"55,372",미국,미국,워너브러더스 코리아(주), 게리 로스,,,,,,,,, 산드라 블록, 케이트 블란쳇, 앤 해서웨이, 민디 캘링, 사라 폴슨, 아콰피나, 리아나, 헬레나 본햄 카터,,,,,,,,,,,
45,사라진 밤,2018.3.7,"10,697,981,316",0.6%,"1,315,726",925,"60,087",한국,한국,(주)키다리이엔티, 차성덕,,,,,,,,, 차성덕,,,,,,,,,,,,,,,,,,
46,스윙키즈,2018.12.19,"10,308,565,602",0.6%,"1,258,811",984,"32,237",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 토머스 카터,,,,,,,,, 로버트 숀 레오나드, 크리스찬 베일,,,,,,,,,,,,,,,,,
47,바람 바람 바람,2018.4.5,"9,784,385,375",0.5%,"1,194,229",985,"57,939",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 이병헌,,,,,,,,, 이성민, 신하균, 송지효, 이엘,,,,,,,,,,,,,,,
48,PMC: 더 벙커,2018.12.26,"9,704,247,367",0.5%,"1,179,031","1,081","26,690",한국,한국,(주)씨제이이엔엠, 김병우,,,,,,,,, 하정우, 이선균,,,,,,,,,,,,,,,,,
49,범블비,2018.12.25,"9,756,083,752",0.5%,"1,167,150","1,016","26,260",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,챔피언,2018.5.1,"9,471,138,230",0.5%,"1,128,774",874,"47,320",한국,한국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,퍼시픽 림: 업라이징,2018.3.21,"8,962,712,795",0.5%,"1,077,235","1,145","49,600",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 스티븐 S. 드나이트,,,,,,,,, 존 보예가, 스콧 이스트우드,,,,,,,,,,,,,,,,,
52,몬스터 호텔 3,2018.8.8,"7,934,082,800",0.4%,"1,072,220",715,"21,247",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 젠디 타타코브스키,,,,,,,,, 아담 샌들러, 셀레나 고메즈,,,,,,,,,,,,,,,,,
53,더 넌,2018.9.19,"8,777,844,795",0.5%,"1,011,580",824,"32,736",미국,미국,워너브러더스 코리아(주), 기욤 니클루,,,,,,,,, 폴린 에티엔, 이자벨 위페르, 마르티나 게덱, 루이즈 보르고앙,,,,,,,,,,,,,,,
54,스카이스크래퍼,2018.7.11,"8,612,111,718",0.5%,"1,002,858",831,"40,862",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 로슨 마샬 터버,,,,,,,,, 드웨인 존슨, 니브 캠벨,,,,,,,,,,,,,,,,,
55,염력,2018.1.31,"7,484,644,112",0.4%,"990,104","1,099","45,623",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 연상호,,,,,,,,, 류승룡, 심은경,,,,,,,,,,,,,,,,,
56,월요일이 사라졌다,2018.2.22,"7,489,885,100",0.4%,"903,175",381,"24,247",영국,"영국,미국,프랑스,벨기에",(주)스마일이엔티, 토미 위르콜라,,,,,,,,, 누미 라파스, 윌렘 대포, 글렌 클로즈,,,,,,,,,,,,,,,,
