,director,필모그래피 개수,천만관객 뱃지 유무,수상 개수
0, 딘 데블로이스,5,None,2.0
1, 페르난도 메이렐레스,17,None,5.0
2, 패트리시아 리건,5,None,0.0
3, 장안치,None,None,0.0
4, 스테파노 솔리마,6,None,0.0
5, 라즐로 네메스,2,None,4.0
6, 이경미,None,None,2.0
7, 디파 메타,13,None,13.0
8, 루 추안,10,None,6.0
9, 벤 차오,None,None,0.0
10, 일리야 나이슐러,,,
11, 리테쉬 바트라,,,
12, 타케모토 노보루,,,
13, 프라순 샤터지,,,
14, 라나 워쇼스키,,,
15, 임대웅,,,
16, 정윤철,,,
17, 윤제균,,,
18, 배성상,,,
19, 애덤 윈가드,,,
20, 맥지,,,
21, 오치아이 켄,,,
22, 존 어윈,,,
23, 조용선,,,
24, 권칠인,,,
25, 지안밍 후앙,,,
26, 피터 시걸,,,
27, 안나 포드칼스카,,,
28, 와타다 신야,,,
29, 구모,,,
30, 코지마 마사유키,,,
31, 롭 마샬,,,
32, 김유성,,,
33, 진,,,
34, 이종석,,,
35, 나카자와 쇼지로,,,
36, 피터 뮬란,,,
37, 알레산드로 칼로니,,,
38, 미나,,,
39, 존 추,,,
40, 마이클 도즈,,,
41, 주드 아패토우,,,
42, 은정,,,
43, 존 크래신스키,,,
44, 조 존스톤,,,
45, 캐스린 비글로우,,,
46, 크리스토퍼 젠킨스,,,
47, 김대웅,,,
48, 다니엘 래드클리프,,,
49, 커트 보엘커,,,
50, 로버트 페르난데스,,,
51, 핀 테일러,,,
52, 이원태,,,
53, 이한욱,,,
54, 우문기,,,
55, 배두나,,,
56, 카메론 디아즈,,,
57, 미카엘 하프스트롬,,,
58, 알렉스 프로야스,,,
59, 하야토 다테,,,
60, 황연,,,
61, 테미 데이비스,,,
62, 신연식,,,
63, 이성태,,,
64, 카와나미 에이사쿠,,,
65, 브렉 에이즈너,,,
66, 크리스찬 거드게스트,,,
67, 이시다 히로야스,,,
68, 세스 라니,,,
69, 사이먼 커티스,,,
70, 동대가,,,
71, 박희곤,,,
72, 한석규,,,
73, 안느 퐁텐,,,
74, 막심 볼코브,,,
75, 타치카와 유즈루,,,
76, 안소니 마라스,,,
77, 댄 세인트 피에르,,,
78, 김지훈,,,
79, 마이클 스피어리그,,,
80, 나가이 타츠유키,,,
81, 셰인 블랙,,,
82, 김태윤,,,
83, 브라이언 A 밀러,,,
84, 추창민,,,
85, 이수연,,,
86, 김성호,,,
87, 알렉세이 트시칠린,,,
88, 토머스 보덴스테인,,,
89, 필립 세이모어 호프만,,,
90, 김아론,,,
91, 올리버 달리,,,
92, 심은경,,,
93, 후안 안토니오 바요나,,,
94, 최진성,,,
95, 제임스 보빈,,,
96, 제프 와드로,,,
97, 데니스 체르노프,,,
98, 마츠오카 조지,,,
99, 노영석,,,
100, 피터 클라릿지,,,
101, 그렉 아라키,,,
102, 존 매든,,,
103, 오뢰,,,
104, 대런 아로노프스키,,,
105, 앤소니 파워,,,
106, 린 램지,,,
107, 김태식,,,
108, 프라파스 콜사라논,,,
109, 안나 포에스터,,,
110, 마크 메르텐스,,,
111, 요아킴 뢰닝,,,
112, 로드니 로스맨,,,
113, 모건 매튜스,,,
114, 이도 엔젤,,,
115, 타다 슌스케,,,
116, 아리 포신,,,
117, 장춘,,,
118, 필립 드 쇼브홍,,,
119, 김진무,,,
120, 에릭 토스티,,,
121, 스리람 라그하반,,,
122, 타케우치 히데키,,,
123, 리차드 커티스,,,
124, 최상훈,,,
125, 콤핀 켐군니르드,,,
126, 오모리 타츠시,,,
127, 김학순,,,
128, 크리스토퍼 놀란,,,
129, 쉬커,,,
130, 강윤성,,,
131, 제임스 드모나코,,,
132, 오자와 료타,,,
133, 아사쿠라 아키,,,
134, 송민규,,,
135, 박시후,,,
136, 정지훈,,,
137, 이윤기,,,
138, 미야자키 하야오,,,
139, 스티븐 스필버그,,,
140, 토마스 빈터베르그,,,
141, 권종관,,,
142, 제이슨 자다,,,
143, 크리스토퍼 맥쿼리,,,
144, 박규택,,,
145, 다코타 패닝,,,
146, 피터 듀크스,,,
147, 고로 사쿠라,,,
148, 헤일리 베넷,,,
149, 크리스티안 디터,,,
150, 제이크 T. 오스틴,,,
151, 론 쉐르픽,,,
152, 플로리안 데이비드 핏츠,,,
153, 던칸 존스,,,
154, 장형윤,,,
155, 레오 로,,,
156, 저스틴 채드윅,,,
157, 김선,,,
158, 이와이 슌지,,,
159, 마츠다 류헤이,,,
160, 로렌 스카파리아,,,
161, 다리오 아르젠토,,,
162, 마틴 스콜세지,,,
163, 유영선,,,
164, 장건재,,,
165, 라자 고스넬,,,
166, 김상경,,,
167, 고어 버빈스키,,,
168, 찰리 시스켈,,,
169, 나가오카 치카,,,
170, 댄 크레치,,,
171, 라스 폰 트리에,,,
172, 앤디 서키스,,,
173, 릴리 콜린스,,,
174, 트래비스 나이트,,,
175, 이상근,,,
176, 안소니 스타치,,,
177, 제니퍼 로렌스,,,
178, 장철수,,,
179, 조성희,,,
180, 저스틴 린,,,
181, 장동건,,,
182, 제임스 플린,,,
183, 나카에 이사무,,,
184, 코바야시 츠네오,,,
185, 카를로스 구티에레스 메드라노,,,
186, 임상수,,,
187, 피터 스피어리그,,,
188, 존 힐코트,,,
189, 크리스토퍼 스펜서,,,
190, 루카스 퀴아오,,,
191, 이성재,,,
192, 카말 반살,,,
193, 이반 로웬버그,,,
194, 방수인,,,
195, 사울 딥,,,
196, 김남길,,,
197, 마틴 코틱,,,
198, 장-프랑소아 풀리오,,,
199, 사사키 노조미,,,
200, 양정화,,,
201, 한동욱,,,
202, 알렉산더 크람스토프,,,
203, 리 다니엘스,,,
204, 김태진,,,
205, 드웨인 존슨,,,
206, 일라이 로스,,,
207, 민병훈,,,
208, 신한솔,,,
209, 조나 힐,,,
210, 에드슨 다 콘세이카오,,,
211, 박준수,,,
212, 나카이즈미 유야,,,
213, 휴 잭맨,,,
214, 정재영,,,
215, 디오고 모르가도,,,
216, 폴 티비트,,,
217, 크리스 윌리엄스,,,
218, 사카키바라 모토노리,,,
219, 상광희,,,
220, 박제현,,,
221, 한스 페터 몰란트,,,
222, 케네스 브래너,,,
223, 정미화,,,
224, 케네스 로너건,,,
225, 백승화,,,
226, 이상철,,,
227, 존 터투로,,,
228, 맥조휘,,,
229, 레자 메마리,,,
230, 머빈 르로이,,,
231, 원신연,,,
232, 오카다 마리,,,
233, 김대창,,,
234, 안톤 후쿠아,,,
235, 루크 에반스,,,
236, 정혁기,,,
237, 데이빗 예이츠,,,
238, 맷 브라운,,,
239, 엽위신,,,
240, 이정호,,,
241, 김영탁,,,
242, 전고운,,,
243, 에릭 바나,,,
244, 김주환,,,
245, 스리데비,,,
246, 조진웅,,,
247, 그레이엄 애나블,,,
248, 스캇 워프,,,
249, 피에르 니네이,,,
250, 호르헤 도라도,,,
251, 황동혁,,,
252, 데이비드 스토튼,,,
253, 스탠리 투치,,,
254, 제임스 코든,,,
255, 김지운,,,
256, 갈리나 미클리노바,,,
257, 장재현,,,
258, 헤 질리,,,
259, 류승완,,,
260, 다현,,,
261, 댄 길로이,,,
262, 김지영,,,
263, 유부원,,,
264, 김성연,,,
265, 조쉬 분,,,
266, 이와사키 토모코,,,
267, 로버트 벤튼,,,
268, 크리스찬 세스마,,,
269, 시모사와 신타로,,,
270, 사샤 고든,,,
271, 줄리안 슈나벨,,,
272, 야노 유이치로,,,
273, 팀 스토리,,,
274, 기욤 니클루,,,
275, 김재환,,,
276, 쿠마자와 나오토,,,
277, 조나단 베이커,,,
278, 바란 보 오다르,,,
279, 이권,,,
280, 김우빈,,,
281, 압델라티프 케시시,,,
282, 크리스토퍼 랜던,,,
283, 이철하,,,
284, 에단 코엔,,,
285, 매튜 본,,,
286, 노암 머로,,,
287, 진도명,,,
288, 로랑 캉테,,,
289, 마이크 컨켈,,,
290, 신보 아키유키,,,
291, 올리비에 메가턴,,,
292, 조영광,,,
293, 김덕수,,,
294, 막심 파디브,,,
295, 안톤 코르빈,,,
296, 이서,,,
297, 여인영,,,
298, 안드레 외브레달,,,
299, 바이론 하워드,,,
300, 에드가 라이트,,,
301, 조근식,,,
302, 황인준,,,
303, RM,,,
304, 테렌스 맬릭,,,
305, 니콜라스 콜라,,,
306, 짐 브로드벤트,,,
307, 장진,,,
308, 이토 토모히코,,,
309, 로버트 로드리게즈,,,
310, 박훈정,,,
311, 오인천,,,
312, 존 무어,,,
313, 크리스 벅,,,
314, 믹 잭슨,,,
315, 뷔,,,
316, 마이클 베이,,,
317, 오멸,,,
318, 안상훈,,,
319, 로버트 스톨텐베르그,,,
320, 송강호,,,
321, 위고 젤랭,,,
322, 사릭 안드레아시안,,,
323, 장하오,,,
324, 조쉬 할로웨이,,,
325, 야로우 체니,,,
326, 전성우,,,
327, 이경호,,,
328, 가브리엘 무치노,,,
329, 샤론 맥과이어,,,
330, 게리 도버먼,,,
331, 히시다 마사카즈,,,
332, 에스벤 토프트 야콥슨,,,
333, 벤 웨틀리,,,
334, 로저 컴블,,,
335, 소연,,,
336, 리스 오스볼,,,
337, 데이비드 에이어,,,
338, 노아 바움백,,,
339, 이해준,,,
340, 국도원,,,
341, 무문광,,,
342, 니키 팰런,,,
343, 이안규,,,
344, 미키 데자키,,,
345, 제이 바루첼,,,
346, 피에르 꼬팽,,,
347, 김광태,,,
348, 데이비드 가렛,,,
349, 빌리 레이,,,
350, 크리스토프 갬플,,,
351, 임효겸,,,
352, 하정우,,,
353,류승완,,,
354, 강성훈,,,
355, 에스더 비알라스,,,
356, 크리스토퍼 파파칼리아티스,,,
357, 아미노 테츠로,,,
358, 로망 뒤리스,,,
359, 박일호,,,
